institution.displayName,institution.state,institution.city,institution.zip,institution.institutionalControl,ranking.displayRank,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
"California State University, Sacramento",CA,Sacramento,95819,public,#18,92,19482,3.5,28389,860-1140,17-22
California State University--San Bernardino,CA,San Bernardino,92407,public,#170,91,14311,3.4,16813,N/A,17-22
"California State University, San Marcos",CA,San Marcos,92096,public,#28,94,17232,3.3,12917,870-1100,17-25
California State University--Stanislaus,CA,Turlock,95382,public,#10,93,19698,3.4,8926,N/A,N/A
Calumet College of St. Joseph,IN,Whiting,46394,private,#149-164,33,22730,2.6,563,813-1008,12-17
Calvary University,MO,Kansas City,64147,private,#64,59,12500,,303,870-1370,18-22
Calvin University,MI,Grand Rapids,49546,private,#4,74,38670,3.8,2960,1120-1370,25-30
Cambridge College,MA,Cambridge,02138,private,Unranked,,17190,,988,N/A,N/A
Cameron University,OK,Lawton,73505,public,#97,100,16320,3.4,3133,N/A,16-21
Campbellsville University,KY,Campbellsville,42718,private,#100,,26100,,4666,N/A,N/A
Campbell University,NC,Buies Creek,27506,private,#320,89,40410,3.5,2965,1000-1220,19-25
Canisius University,NY,Buffalo,14208,private,#33,78,32720,3.6,1788,1050-1320,22-28
Capital University,OH,Columbus,43209,private,#47,72,41788,3.5,1938,960-1186,18-24
Capitol Technology University,MD,Laurel,20708,private,#395-435,47,27004,,331,N/A,N/A
Caribbean University,PR,Bayamon,00960,private,#123-135,,5966,,617,N/A,N/A
Carleton College,MN,Northfield,55057,private,#9,17,65457,,2034,1430-1550,32-35
Carlow University,PA,Pittsburgh,15213,private,#87,93,35628,3.5,1247,908-1138,21-23
Carnegie Mellon University,PA,Pittsburgh,15213,private,#24,11,63829,3.9,7509,1490-1570,34-35
Carolinas College of Health Sciences,NC,,,public,Unranked,61,16179,,473,N/A,N/A
Carroll College,MT,Helena,59625,private,#3,78,40352,3.7,1160,1080-1200,13-29
Carroll University,WI,Waukesha,53186,private,#38,72,37230,3.5,2771,1060-1340,22-28
Carson-Newman University,TN,Jefferson City,37760,private,#361,80,34700,3.6,1528,980-1143,19-26
Carthage College,WI,Kenosha,53140,private,#32,82,36500,3.3,2559,1040-1210,20-26
Cascadia College,WA,Bothell,98011,public,Unranked,,10426,,1996,N/A,N/A
Case Western Reserve University,OH,Cleveland,44106,private,#53,27,62234,3.8,6017,1410-1540,32-35
Castleton University,VT,Castleton,05735,public,#136,87,30046,,1744,958-1158,16-22
Catawba College,NC,Salisbury,28144,private,#6,67,33400,3.6,1094,1000-1210,18-27
The Catholic University of America,DC,Washington,20064,private,#178,86,55834,3.5,3011,1110-1340,22-29
Cedar Crest College,PA,Allentown,18104,private,#87,84,44934,3.4,953,960-1245,N/A
Cedarville University,OH,Cedarville,45314,private,#21,65,36078,,4533,1130-1380,23-29
CEM College--San Juan,PR,San Juan,,proprietary,Unranked,,12300,,236,N/A,N/A
Centenary College,LA,Shreveport,71104,private,#139,64,40000,,523,1080-1260,21-27
Centenary University,NJ,Hackettstown,07840,private,#106,98,35934,,1128,990-1170,15-22
Central Baptist College,AR,Conway,72032,private,#68,61,19680,,564,841-1083,17-24
Central Christian College of Kansas,KS,McPherson,67460,private,#68-74,100,30800,3.1,536,N/A,N/A
Central College,IA,Pella,50219,private,#135,79,20988,3.6,1169,1040-1218,19-26
Central Connecticut State University,CT,New Britain,06050,public,#69,77,25736,3.2,7665,940-1160,18-24
Centralia College,WA,Centralia,98531,public,Unranked,,5381,,2153,N/A,N/A
Central Methodist University -- College of Liberal Arts and Sciences,MO,Fayette,65248,private,#27,98,27140,3.3,1080,923-1090,18-23
Central Michigan University,MI,Mount Pleasant,48859,public,#260,79,14790,3.5,10421,980-1220,21-27
Central Penn College,PA,Summerdale,17093,proprietary,#35,89,19404,,872,N/A,N/A
Central State University,OH,Wilberforce,45384,public,#68-74,89,9830,2.8,5406,770-950,14-18
Central Washington University,WA,Ellensburg,98926,public,#37,95,26393,3.1,8609,940-1180,N/A
Centre College,KY,Danville,40422,private,#51,62,50550,3.8,1357,1195-1470,26-34
Chadron State College,NE,Chadron,69337,public,#132,,7834,,1800,N/A,N/A
Chamberlain University,IL,Downers Grove,60515,proprietary,Unranked,93,20410,,13324,N/A,N/A
Chaminade University of Honolulu,HI,Honolulu,96816,private,#30,93,29970,3.5,1118,N/A,N/A
Champlain College,VT,Burlington,05401,private,#91,56,45550,3.5,1784,1163-1348,27-31
Chapman University,CA,Orange,92866,private,#133,73,62784,,7869,1200-1400,26-31
Charles R. Drew University of Medicine and Science,CA,Los Angeles,90059,private,Unranked,80,18800,,246,N/A,N/A
Charleston Southern University,SC,Charleston,29423,private,#59,87,29990,3.4,2836,940-1170,18-23
Chatham University,PA,Pittsburgh,15232,private,#209,66,43810,,1499,1060-1270,21-29
Chestnut Hill College,PA,Philadelphia,19118,private,#121,98,39410,,1072,900-1090,N/A
Cheyney University of Pennsylvania,PA,Cheyney,19319,public,#182,,18870,,642,N/A,N/A
Chicago School of Professional Psychology at Los Angeles,CA,Los Angeles,,private,Unranked,37,13224,,223,N/A,N/A
Chicago State University,IL,Chicago,60628,public,#149-164,47,13638,,1502,N/A,N/A
Chipola College,FL,Marianna,32446,public,Unranked,63,8950,,1826,N/A,N/A
Chowan University,NC,Murfreesboro,27855,private,#68,87,27110,3,800,970-1120,18-24
Christ College of Nursing and Health Sciences,OH,Cincinnati,,private,Unranked,64,16472,,879,N/A,N/A
Christian Brothers University,TN,Memphis,38104,private,#13,88,37300,3.8,1253,920-1330,19-27
Christopher Newport University,VA,Newport News,23606,public,#7,85,30588,3.8,4449,1100-1290,22-29
"The Citadel, The Military College of South Carolina",SC,Charleston,29409,public,#2,99,36614,3.8,2695,1090-1270,23-27
Claflin University,SC,Orangeburg,29115,private,#159,78,17046,3,1749,840-1090,17-21
Claremont McKenna College,CA,Claremont,91711,private,#11,10,64150,,1386,1440-1550,33-35
Clark Atlanta University,GA,Atlanta,30314,private,#361,56,26446,3.3,3427,860-1053,17-20
Clark College,WA,Vancouver,98663,public,Unranked,,10133,,6921,N/A,N/A
Clarke University,IA,Dubuque,52001,private,#280,67,39600,3.3,785,890-1150,18-23
Clarkson College,NE,Omaha,68131,private,Unranked,96,14880,,616,N/A,N/A
Clarkson University,NY,Potsdam,13699,private,#142,78,57950,3.8,2668,1190-1370,25-30
Clarks Summit University,PA,Clarks Summit,18411,private,#151-167,58,29700,,467,N/A,N/A
Clark University,MA,Worcester,01610,private,#142,50,55187,3.7,2389,1250-1430,28-33
Clayton State University,GA,Morrow,30260,public,#91,56,19486,3.2,5283,890-1090,16-20
