institution.displayName,institution.state,institution.city,institution.zip,institution.institutionalControl,ranking.displayRank,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Shawnee State University,OH,Portsmouth,45662,public,#133,77,16157,,3101,970-1200,17-23
Shaw University,NC,Raleigh,27601,private,#91-99,61,16480,2.8,924,N/A,N/A
Shenandoah University,VA,Winchester,22601,private,#304,74,36028,3.7,2461,1100-1290,24-30
Shepherd University,WV,Shepherdstown,25443,public,#79,96,18722,3.6,2718,930-1170,19-24
Shippensburg University of Pennsylvania,PA,Shippensburg,17257,public,#104,88,14122,3.3,4443,980-1210,18-28
Shorter University,GA,Rome,30165,private,#105,97,24044,,1394,960-1290,17-25
Siena College,NY,Loudonville,12211,private,#13,71,42880,3.5,3519,1045-1270,22-31
Siena Heights University,MI,Adrian,49221,private,#55,68,29044,,1782,N/A,N/A
Sierra Nevada University,NV,Incline Village,89451,private,#105-115,67,,,279,920-1200,17-22
Simmons University,MA,Boston,02115,private,#151,76,45538,3.8,1789,1200-1390,28-32
Simpson College,IA,Indianola,50125,private,#5,89,46212,3.6,1127,1210-1440,31-33
Simpson University,CA,Redding,96003,private,#174,52,38522,3.3,729,N/A,N/A
Sinte Gleska University,SD,Rosebud,57570,public,Unranked,,4714,,688,N/A,N/A
Sitting Bull College,ND,Fort Yates,58538,public,Unranked,,4010,,233,N/A,N/A
Skagit Valley College,WA,Mount Vernon,98273,public,Unranked,,7888,,3891,N/A,N/A
Skidmore College,NY,Saratoga Springs,12866,private,#38,26,64880,,2758,1300-1460,30-33
Skyline College,CA,San Bruno,94066,public,Unranked,,9508,,7776,N/A,N/A
Slippery Rock University of Pennsylvania,PA,Slippery Rock,16057,public,#50,74,14615,3.5,6779,960-1160,18-26
Smith College,MA,Northampton,01063,private,#16,23,61568,,2523,1370-1520,31-34
Snow College,UT,Ephraim,84627,public,#19,100,14130,2.8,6070,400-400,16-28
Soka University of America,CA,Aliso Viejo,92656,private,#56,57,37450,3.7,445,1240-1440,26-27
Solano Community College,CA,Fairfield,94534,public,Unranked,,7628,,8105,N/A,N/A
Sonoma State University,CA,Rohnert Park,94928,public,#27,94,22388,,5934,N/A,N/A
South Carolina State University,SC,Orangeburg,29117,public,#79,84,23282,3.2,2374,890-1200,12-19
South College,TN,Knoxville,37909,proprietary,#395-435,,17335,,4598,N/A,N/A
South Dakota School of Mines and Technology,SD,Rapid City,57701,public,#26,83,14800,3.7,2164,1160-1378,23-29
South Dakota State University,SD,Brookings,57007,public,#296,86,12809,3.5,9921,1020-1240,19-25
Southeastern Baptist Theological Seminary,NC,Wake Forest,27587,private,#296,90,10234,,775,N/A,N/A
Southeastern Louisiana University,LA,Hammond,70402,public,#84,99,20851,3.5,12451,N/A,21-25
Southeastern Oklahoma State University,OK,Durant,74701,public,#98,74,15930,,3021,880-1080,17-23
Southeastern University,FL,Lakeland,33801,private,#395-435,50,31732,3.6,8840,960-1183,19-25
Southeast Missouri Hospital College of Nursing and Health Sciences,MO,Cape Girardeau,,private,Unranked,33,11691,,158,N/A,N/A
Southeast Missouri State University,MO,Cape Girardeau,63701,public,#88,86,10839,3.6,8454,970-1180,17-24
Southern Adventist University,TN,Collegedale,37315,private,#41,70,25290,3.6,2571,980-1280,19-26
Southern Arkansas University,AR,Magnolia,71754,public,#86,64,15400,3.5,3148,900-1160,17-24
Southern Baptist Theological Seminary,KY,Louisville,40280,private,Unranked,80,12000,,1019,N/A,N/A
Southern California Institute of Architecture,CA,Los Angeles,90013,private,Unranked,65,50690,,256,N/A,N/A
Southern California University of Health Sciences,CA,Whittier,,private,Unranked,,13125,,545,N/A,N/A
Southern Connecticut State University,CT,New Haven,06515,public,#64,83,26104,3.2,6920,870-1080,18-25
Southern Illinois University--Carbondale,IL,Carbondale,62901,public,#280,91,15522,3.2,8000,900-1140,19-27
Southern Illinois University Edwardsville,IL,Edwardsville,62026,public,#332,98,12922,3.6,9321,930-1160,19-26
Southern Methodist University,TX,Dallas,75275,private,#89,52,64460,3.7,7056,1370-1510,31-34
Southern Nazarene University,OK,Bethany,73008,private,#75,,28600,,1486,N/A,N/A
Southern New Hampshire University,NH,Manchester,03106,private,#151-167,89,16450,3.1,2601,N/A,N/A
Southern Oregon University,OR,Ashland,97520,public,#69,92,30051,,4273,980-1230,18-25
Southern University and A&M College,LA,Baton Rouge,70813,public,#395-435,54,10479,3.1,6470,890-1060,15-19
Southern University at New Orleans,LA,New Orleans,70126,public,#123-135,46,8000,2.8,1680,N/A,15-18
Southern Utah University,UT,Cedar City,84720,public,#60,84,20586,3.6,12649,1030-1240,20-26
Southern Virginia University,VA,Buena Vista,24416,private,#186-204,100,19108,,1170,1018-1226,17-26
Southern Wesleyan University,SC,Central,29630,private,#52,52,27820,,896,1013-1160,19-23
South Florida State College,FL,Avon Park,33825,public,Unranked,100,11859,3.2,2892,N/A,N/A
South Georgia State College,GA,Douglas,31533,public,#85,99,9322,3.1,1794,N/A,N/A
South Seattle College,WA,Seattle,98106,public,Unranked,,5354,,4893,N/A,N/A
South Texas College,TX,McAllen,78501,public,#42,,7500,,28962,N/A,N/A
South University,GA,Savannah,33411,proprietary,#123-135,,17014,,239,N/A,N/A
South University-Tampa,FL,Tampa,,proprietary,Unranked,,17014,,491,N/A,N/A
Southwest Baptist University,MO,Bolivar,65613,private,#131,100,28377,3.5,1836,943-1123,19-25
Southwestern Adventist University,TX,Keene,76059,private,#15,54,24588,,786,900-1180,17-24
Southwestern Assemblies of God University,TX,Waxahachie,75165,private,#82,85,17782,,1519,900-1080,17-22
Southwestern Christian College,TX,Terrell,75160,private,Unranked,,12030,,92,N/A,N/A
Southwestern Christian University,OK,Bethany,73008,private,#43,,21416,,460,N/A,N/A
Southwestern College,KS,Winfield,67156,private,#47,70,38480,3.4,1067,920-1110,16-22
Southwestern Oklahoma State University,OK,Weatherford,73096,public,#64,77,15240,3.5,3942,N/A,17-23
Southwestern University,TX,Georgetown,78627,private,#89,45,50858,3.5,1483,1120-1360,24-30
Southwest Minnesota State University,MN,Marshall,56258,public,#103,92,10304,3.4,6144,N/A,17-23
Spalding University,KY,Louisville,40203,private,#64,98,27300,3.7,767,905-1100,16-22
Spelman College,GA,Atlanta,30314,private,#39,28,30058,3.9,2374,1090-1300,22-27
Spokane Community College,WA,Spokane,99217,public,Unranked,,5278,,6890,N/A,N/A
Spokane Falls Community College,WA,Spokane,99224,public,Unranked,,5278,,3805,N/A,N/A
Spring Arbor University,MI,Spring Arbor,49283,private,#67,47,32580,3.6,1127,970-1135,20-26
Springfield College,MA,Springfield,01109,private,#216,76,43707,3.6,2005,1100-1300,26-31
Spring Hill College,AL,Mobile,36608,private,#8,73,23270,3.6,933,1110-1230,19-24
St. Ambrose University,IA,Davenport,52803,private,#320,74,35598,3.4,2120,940-1200,20-26
St. Andrews University,NC,Laurinburg,,private,#89,12,29600,,876,N/A,N/A
Stanford University,CA,Stanford,94305,private,#3,4,62484,3.9,8049,1500-1580,33-35
State College of Florida--Manatee-Sarasota,FL,Bradenton,34207,public,Unranked,,11595,,8424,N/A,N/A
St. Augustine College,IL,Chicago,60640,private,#22,,13288,,737,N/A,N/A
St. Bonaventure University,NY,St. Bonaventure,14778,private,#17,81,40150,3.5,1868,1050-1220,25-32
St. Catherine University,MN,St. Paul,55105,private,#216,93,49758,3.6,2416,1155-1450,18-26
St. Charles Borromeo Seminary,PA,Wynnewood,19096,private,Unranked,100,24060,,47,N/A,N/A
St. Cloud State University,MN,St. Cloud,56301,public,#76,95,8812,3.3,8245,1028-1200,18-24
St. Edward's University,TX,Austin,78704,private,#6,85,51384,,2769,1030-1270,20-27
Stephen F. Austin State University,TX,Nacogdoches,75962,public,#39,89,22876,,9823,950-1140,17-23
Stephens College,MO,Columbia,65215,private,#83,64,25586,,409,1030-1170,19-23
Sterling College (KS),KS,Sterling,67579,private,#45,61,30000,3.3,683,938-1123,18-24
Sterling College (VT),VT,Craftsbury Common,05827,private,#32,100,39200,,126,N/A,N/A
Stetson University,FL,DeLand,32723,private,#4,94,55220,3.8,2561,1110-1305,25-29
Stevens Institute of Technology,NJ,Hoboken,07030,private,#76,46,60952,3.9,3988,1380-1510,31-34
Stevenson University,MD,Owings Mills,21117,private,#91,84,39708,3.1,2985,N/A,N/A
St. Francis College,NY,Brooklyn,11201,private,#18,85,27298,,2372,990-1240,22-26
St. Francis Medical Center College of Nursing,IL,Peoria,61603,private,Unranked,,22008,,244,N/A,N/A
St. Francis University,PA,Loretto,15940,private,#30,73,40520,3.7,2460,1030-1240,20-26
Stillman College,AL,Tuscaloosa,35401,private,#74,76,11392,,728,N/A,N/A
St. John Fisher University,NY,Rochester,14618,private,#185,73,39666,3.5,2629,1090-1260,23-29
St. John's College (IL),IL,Springfield,62702,private,Unranked,,25466,,93,N/A,N/A
St. John's College (MD),MD,Annapolis,21401,private,#75,50,39126,3.8,462,1250-1460,30-33
St. John's College (NM),NM,Santa Fe,87505,private,#93,54,39356,3.7,366,1290-1470,30-32
St. John's University (MN),MN,Collegeville,56321,private,#82,86,53942,3.5,1528,915-1185,21-26
St. John's University (NY),NY,Queens,11439,private,#163,85,50110,,15652,1110-1310,24-29
St. John Vianney College Seminary,FL,Miami,33165,private,Unranked,95,23100,,37,N/A,N/A
St. Joseph's College (ME),ME,Standish,04084,private,#91,81,41586,,1066,1020-1230,N/A
St. Joseph Seminary College,LA,St. Benedict,70457,private,Unranked,,24725,,114,N/A,N/A
"St. Joseph's University, New York",NY,Brooklyn,11205,private,#45,77,34525,3.5,3556,1093-1306,23-27
St. Lawrence University,NY,Canton,13617,private,#59,63,63870,3.7,2145,1240-1410,29-32
St Luke's College,IA,Sioux City,,private,Unranked,100,20940,,202,N/A,N/A
St. Mary's College of Maryland,MD,St. Marys City,20686,public,#82,77,31312,3.5,1513,1130-1370,28-30
St. Mary's University of San Antonio,TX,San Antonio,78228,private,#14,86,36242,3.6,2001,N/A,N/A
St. Norbert College,WI,De Pere,54115,private,#93,84,44432,3.6,1814,1010-1270,21-27
Stockton University,NJ,Galloway,08205,public,#159,86,23420,3.6,8138,1050-1250,18-25
St. Olaf College,MN,Northfield,55057,private,#51,56,56970,3.7,3046,1300-1480,28-33
Stone Child College,MT,Boneau,,public,Unranked,,2645,,373,N/A,N/A
Stonehill College,MA,Easton,02357,private,#86,73,52300,3.4,2536,N/A,N/A
Stony Brook University--SUNY,NY,Stony Brook,11794,public,#58,49,30350,3.9,17509,1320-1500,28-34
St. Petersburg College,FL,St. Petersburg,33733,public,Unranked,,8513,,24543,N/A,N/A
Stratford University,VA,Alexandria,,proprietary,Unranked,,,,1240,N/A,N/A
Strayer University,DC,Washington,20005,proprietary,Unranked,,13515,,368,N/A,N/A
St. Thomas Aquinas College,NY,Sparkill,10976,private,#119,87,37870,3.1,1859,920-1270,N/A
St. Thomas University,FL,Miami Gardens,33054,private,#395-435,65,34770,,3980,860-1060,16-21
Suffolk University,MA,Boston,02108,private,#249,87,45380,3.4,4437,1100-1300,25-30
Sullivan University,KY,Louisville,40205,proprietary,Unranked,,14220,,2085,N/A,N/A
Sul Ross State University,TX,Alpine,79832,public,#95,97,17729,3.3,1550,850-1080,16-21
SUM Bible College and Theological Seminary,CA,El Dorado Hills,,private,Unranked,100,10730,,416,N/A,N/A
SUNY Brockport,NY,Brockport,14420,public,#64,68,15768,2.9,5149,1070-1240,18-26
SUNY Buffalo State University,NY,Buffalo,14222,public,#119,86,18906,2.9,5464,940-1178,N/A
SUNY Cobleskill,NY,Cobleskill,12043,public,#12,84,18544,3,1783,910-1150,17-26
SUNY College--Cortland,NY,Cortland,13045,public,#60,60,18760,3.4,5994,1100-1250,N/A
SUNY College of Environmental Science and Forestry,NY,Syracuse,13210,public,#115,70,21036,3.7,1621,N/A,N/A
SUNY College of Technology at Canton,NY,Canton,13617,public,#9,95,18719,3.1,2944,950-1140,N/A
SUNY College of Technology--Delhi,NY,Delhi,13753,public,#20,83,12490,3,2481,N/A,N/A
SUNY College--Old Westbury,NY,Old Westbury,11568,public,#94,77,18278,,4033,1070-1260,N/A
SUNY Downstate Health Sciences University,NY,Brooklyn,11203,public,Unranked,,18493,,193,N/A,N/A
SUNY Empire State College,NY,Saratoga Springs,12866,public,#151-167,61,17540,,7735,N/A,N/A
SUNY--Fredonia,NY,Fredonia,14063,public,#69,85,18705,3.3,3217,1080-1300,18-23
SUNY--Geneseo,NY,Geneseo,14454,public,#12,75,19206,3.7,4136,1160-1320,25-30
SUNY Maritime College,NY,Throggs Neck,10465,public,#25,80,18480,3.3,1295,1140-1300,24-28
SUNY Morrisville,NY,Morrisville,13408,public,#26,84,13800,2.7,1803,980-1270,16-23
SUNY--New Paltz,NY,New Paltz,12561,public,#24,58,18434,3.6,6090,1160-1340,25-29
SUNY--Oneonta,NY,Oneonta,13820,public,#30,73,18704,3.5,4859,1090-1250,24-28
SUNY Oswego,NY,Oswego,13126,public,#39,84,18679,3.3,5985,1070-1260,22-29
SUNY Plattsburgh,NY,Plattsburgh,12901,public,#54,70,18860,3.1,4004,1050-1260,21-30
SUNY Polytechnic Institute,NY,Utica,13502,public,#25,82,19338,3.7,1990,1050-1410,26-32
SUNY Potsdam,NY,Potsdam,13676,public,#80,83,18622,3.4,2082,N/A,N/A
Susquehanna University,PA,Selinsgrove,17870,private,#107,88,57400,3.7,2199,1088-1280,23-30
Swarthmore College,PA,Swarthmore,19081,private,#4,7,62412,,1625,1440-1560,32-35
Sweet Briar College,VA,Sweet Briar,24595,private,#180,78,23590,3.9,457,1010-1350,19-29
Syracuse University,NY,Syracuse,13244,private,#67,52,63061,3.8,15421,1260-1430,28-32
Tabor College,KS,Hillsboro,67063,private,#36,53,35050,,1009,830-1190,17-25
Tacoma Community College,WA,Tacoma,98466,public,Unranked,,10649,,5359,N/A,N/A
Talladega College,AL,Talladega,35160,private,#61,49,15650,,832,N/A,N/A
Tallahassee Community College,FL,Tallahassee,32304,public,Unranked,,8062,,11935,N/A,N/A
Tarleton State University,TX,Stephenville,76402,public,#376,57,21932,,12012,950-1150,18-24
Taylor University,IN,Upland,46989,private,#3,75,38440,3.7,2193,1090-1310,23-30
Temple University,PA,Philadelphia,19122,public,#89,80,35956,3.4,24106,1120-1370,24-31
Tennessee State University,TN,Nashville,37209,public,#395-435,93,21692,3.6,7678,978-1233,15-20
Tennessee Tech University,TN,Cookeville,38505,public,#249,77,15030,3.7,8537,1000-1240,21-27
Tennessee Wesleyan University,TN,Athens,37303,private,#15,61,29264,3.5,935,930-1170,18-24
Texas A&M International University,TX,Laredo,78041,public,#44,66,21720,3.8,6979,910-1110,16-21
Texas A&M University,TX,College Station,77843,public,#47,63,40607,,57512,1150-1390,25-31
Texas A&M University--Commerce,TX,Commerce,75429,public,#369,42,22626,3.3,7201,913-1150,16-23
Texas A&M University--Corpus Christi,TX,Corpus Christi,78412,public,#395-435,80,23727,3.4,7824,980-1200,18-24
Texas A&M University--Kingsville,TX,Kingsville,78363,public,#352,97,11445,3.4,4845,890-1110,16-21
Texas A&M University--San Antonio,TX,San Antonio,,public,Unranked,73,22764,,6404,N/A,N/A
Texas A&M University--Texarkana,TX,Texarkana,75503,public,#75,96,9866,,1769,850-1150,17-25
Texas Christian University,TX,Fort Worth,76129,private,#98,56,57220,3.7,10523,1140-1360,26-31
Texas College,TX,Tyler,75702,private,#45-48,,10008,,731,N/A,N/A
Texas Lutheran University,TX,Seguin,78155,private,#11,92,34920,3,1329,1030-1220,20-27
Texas Southern University,TX,Houston,77004,public,#395-435,97,21413,3,6830,820-1000,15-19
Texas State University,TX,San Marcos,78666,public,#280,88,24447,,33834,980-1180,19-26
Texas Tech University,TX,Lubbock,79409,public,#216,67,24092,3.6,32579,1090-1280,23-28
Texas Tech University Health Sciences Center-El Paso,TX,El Paso,,public,Unranked,,25456,,267,N/A,N/A
Texas Tech University Health Sciences Center-Lubbock,TX,Lubbock,79430,public,Unranked,,23057,,1468,N/A,N/A
Texas Wesleyan University,TX,Fort Worth,76105,private,#395-435,58,36128,,1775,920-1100,16-22
Texas Woman's University,TX,Denton,76204,public,#332,94,23140,3.2,10150,930-1140,16-22
Thiel College,PA,Greenville,16125,private,#23,82,36864,3.3,800,965-1165,17-24
Thomas Aquinas College,CA,Santa Paula,93060,private,#67,85,28700,3.8,516,1215-1400,27-32
Thomas College,ME,Waterville,04901,private,#146,81,30896,3.4,1304,980-1238,N/A
Thomas Edison State University,NJ,Trenton,08608,public,Unranked,,9556,,8754,N/A,N/A
Thomas Jefferson University,PA,Philadelphia,19107,private,#142,87,45733,3.7,3771,1120-1330,26-31
Thomas More College of Liberal Arts,NH,Merrimack,03054,private,Unranked,,28000,,89,N/A,N/A
Thomas More University,KY,Crestview Hills,41017,private,#79,94,38400,3.5,1829,1005-1256,18-25
Thomas University,GA,Thomasville,31792,private,#122,29,11080,,793,780-1240,11-29
Tiffin University,OH,Tiffin,44883,private,#145,74,30120,,2204,N/A,N/A
Toccoa Falls College,GA,Toccoa Falls,30598,private,#30,68,23250,3.5,2008,990-1240,18-24
Tougaloo College,MS,Tougaloo,39174,private,#181,49,11398,,657,790-1090,16-21
Touro University,NY,New York,10036,private,#195,71,21810,3.3,4860,1220-1428,25-32
Touro University Nevada,NV,Henderson,,private,Unranked,,10290,,55,N/A,N/A
Towson University,MD,Towson,21252,public,#21,79,28326,3.8,16861,1010-1230,19-25
Transylvania University,KY,Lexington,40508,private,#121,91,44980,3.7,981,1120-1360,23-29
Trevecca Nazarene University,TN,Nashville,37210,private,#382,71,27300,3.5,1867,1010-1250,18-25
Trine University,IN,Angola,46703,private,#14,92,35600,3.6,3794,1020-1250,22-28
Trinity Bible College and Graduate School,ND,Ellendale,,private,Unranked,97,18216,,161,N/A,N/A
Trinity Christian College,IL,Palos Heights,60463,private,#15,71,20100,3.5,854,910-1110,20-29
Trinity College,CT,Hartford,06106,private,#39,36,67420,,2167,1300-1470,30-32
Trinity College of Nursing & Health Sciences,IL,Rock Island,61201,private,Unranked,,27955,,108,N/A,N/A
Trinity International University,IL,Deerfield,60015,private,#395-435,91,33898,,517,980-1120,15-21
Trinity University,TX,San Antonio,78212,private,#59,31,51352,3.8,2512,1310-1470,29-33
Trinity Washington University,DC,Washington,20017,private,#121,97,25610,,1441,N/A,N/A
Trocair College,NY,BUffalo,14220,private,Unranked,47,19250,,1101,N/A,N/A
Troy University,AL,Troy,36082,public,#55,95,24480,3.4,10768,950-1150,17-24
Truckee Meadows Community College,NV,,,public,Unranked,,10639,,9431,N/A,N/A
Truett McConnell University,GA,Cleveland,30528,private,#63,69,25568,3.3,2683,1000-1210,18-23
Truman State University,MO,Kirksville,63501,public,#5,45,17856,3.8,3622,1070-1330,23-29
Tufts University,MA,Medford,02155,private,#40,10,67844,,6815,1450-1550,33-35
Tulane University,LA,New Orleans,70118,private,#73,11,65538,3.7,7350,1370-1510,31-33
Turtle Mountain Community College,ND,Belcourt,,private,Unranked,,2482,,472,N/A,N/A
Tusculum University,TN,Greeneville,37743,private,#86,81,28500,3.4,1111,910-1110,17-22
Tuskegee University,AL,Tuskegee,36088,private,#8,30,22679,3.3,2100,960-1220,18-24
Tyler Junior College,TX,Tyler,75701,public,Unranked,,5482,,11913,N/A,N/A
Union College (KY),KY,Barbourville,40906,private,#113,56,30946,,789,955-1148,16-22
Union College (NE),NE,Lincoln,68506,private,#15,76,27990,,483,860-1070,17-25
Union College (NY),NY,Schenectady,12308,private,#45,47,66456,3.7,2107,1310-1490,29-33
Union Institute and University,OH,Cincinnati,45206,private,Unranked,,17141,,489,N/A,N/A
Union University,TN,Jackson,38305,private,#249,53,38300,3.8,1899,1100-1370,23-30
United States Air Force Academy,CO,USAF Academy,80840,public,#7,13,0,3.8,4085,1310-1480,28-33
United States Coast Guard Academy,CT,New London,06320,public,#1,15,0,3.8,1037,1160-1365,26-31
United States International University--Kenya,,Nairobi,,private,Unranked,,,,0,N/A,N/A
United States Merchant Marine Academy,NY,Kings Point,11024,public,#3,29,2016,,931,1150-1330,25-28
United States Military Academy at West Point,NY,West Point,10996,public,#8,12,0,3.9,4393,1220-1450,27-33
United States Naval Academy,MD,Annapolis,21402,public,#3,11,0,3.7,4450,1200-1440,25-32
United States University,CA,Chula Vista,91911,proprietary,Unranked,,6630,,188,N/A,N/A
United Tribes Technical College,ND,Bismarck,,private,Unranked,,4252,,474,N/A,N/A
Unitek College,CA,,,proprietary,Unranked,,36630,,4188,N/A,N/A
Unity Environmental University,ME,Unity,04988,private,#151-167,91,12640,,1991,N/A,N/A
Universidad Adventista de las Antillas,PR,Mayaguez,00681,private,#96,100,7700,,863,N/A,N/A
Universidad Ana G. Mendez--Carolina Campus,PR,Carolina,00985,private,#123-135,,6920,,5495,N/A,N/A
Universidad Ana G. Mendez--Cupey Campus,PR,Rio Piedras,00928,private,#123-135,,6920,,6116,N/A,N/A
Universidad Ana G. Mendez--Gurabo Campus,PR,Gurabo,00778,private,#395-435,,6920,,8772,N/A,N/A
Universidad Central Del Caribe,PR,Bayamon,,private,Unranked,58,6597,,94,N/A,N/A
Universidad del Sagrado Corazon,PR,Santurce,00914,private,#120,62,6170,,3611,N/A,N/A
Universidad Politecnica de Puerto Rico,PR,Hato Rey,00919,private,#123-135,74,9102,3.5,3665,N/A,N/A
University at Albany--SUNY,NY,Albany,12222,public,#133,68,28998,3.8,12264,1120-1320,22-31
University at Buffalo--SUNY,NY,Buffalo,14214,public,#76,68,30571,3.8,20761,1190-1380,25-32
University of Advancing Technology,AZ,Tempe,85283,proprietary,#27,91,18794,,851,N/A,N/A
The University of Akron,OH,Akron,44325,public,#361,83,17239,3.5,11323,980-1230,18-25
The University of Alabama,AL,Tuscaloosa,35487,public,#170,80,33200,3.8,32458,1130-1410,23-31
University of Alabama at Birmingham,AL,Birmingham,35294,public,#142,87,26520,3.8,13032,1200-1410,23-30
University of Alabama at Huntsville,AL,Huntsville,35899,public,#227,78,24770,,7169,1226-1430,25-31
University of Alaska--Anchorage,AK,Anchorage,99508,public,#86,65,25356,3.4,9991,1030-1250,18-25
University of Alaska--Fairbanks,AK,Fairbanks,99775,public,#389,65,22032,,5844,1110-1360,17-27
University of Alaska--Southeast,AK,Juneau,99801,public,#105-115,63,21096,,1724,N/A,N/A
University of Antelope Valley,CA,Lancaster,,proprietary,#12,,67080,,550,N/A,N/A
University of Arizona,AZ,Tucson,85721,public,#115,87,37355,3.5,40407,1140-1370,21-29
University of Arkansas,AR,Fayetteville,72701,public,#178,79,28772,3.8,26269,1030-1220,21-29
University of Arkansas at Little Rock,AR,Little Rock,72204,public,#390,56,18957,3.3,6236,770-1200,18-24
University of Arkansas for Medical Sciences,AR,Little Rock,72205,public,Unranked,,16114,,1084,N/A,N/A
University of Arkansas -- Fort Smith,AR,Fort Smith,72913,public,#34,98,17095,3.4,5335,N/A,18-23
University of Arkansas--Monticello,AR,Monticello,71656,public,#123-135,,14281,,2258,N/A,N/A
University of Arkansas--Pine Bluff,AR,Pine Bluff,71601,public,#41,69,15838,3,2182,805-1045,14-18
University of Baltimore,MD,Baltimore,21201,public,#104,61,23490,3.1,1406,920-1050,N/A
University of Bridgeport,CT,Bridgeport,06604,private,#389,73,35760,,1873,950-1130,N/A
"University of California, Berkeley",CA,Berkeley,94720,public,#15,11,48465,3.9,32831,N/A,N/A
"University of California, Davis",CA,Davis,95616,public,#28,37,46043,,31532,N/A,N/A
"University of California, Irvine",CA,Irvine,92697,public,#33,21,47759,,28661,N/A,N/A
"University of California, Los Angeles",CA,Los Angeles,90095,public,#15,9,46326,3.9,32423,N/A,N/A
"University of California, Merced",CA,Merced,95343,public,#60,89,43777,3.6,8344,N/A,N/A
"University of California, Riverside",CA,Riverside,92521,public,#76,69,46266,3.9,22903,N/A,N/A
"University of California, San Diego",CA,La Jolla,92093,public,#28,24,48630,3.9,33096,N/A,N/A
"University of California, Santa Barbara",CA,Santa Barbara,93106,public,#35,26,45658,3.9,23460,N/A,N/A
"University of California, Santa Cruz",CA,Santa Cruz,95064,public,#82,47,47862,3.9,17502,N/A,N/A
University of Central Arkansas,AR,Conway,72035,public,#394-435,91,17258,3.6,7994,940-1130,19-25
University of Central Florida,FL,Orlando,32816,public,#124,41,22467,3.9,58749,1200-1360,25-29
University of Central Missouri,MO,Warrensburg,64093,public,#67,71,18060,3.6,7345,N/A,18-24
University of Central Oklahoma,OK,Edmond,73034,public,#67,81,19121,,11771,N/A,18-24
University of Charleston,WV,Charleston,25304,private,#395-435,70,31900,,2162,N/A,N/A
University of Chicago,IL,Chicago,60637,private,#12,5,65619,,7470,1500-1580,34-35
University of Cincinnati,OH,Cincinnati,45221,public,#142,86,27140,3.7,29989,1160-1360,24-29
University of Cincinnati--UC Blue Ash College,OH,Cincinnati,45236,public,Unranked,,15588,,6133,N/A,N/A
University of Colorado Boulder,CO,Boulder,80309,public,#105,79,41966,3.7,31103,1160-1390,26-31
University of Colorado Colorado Springs,CO,Colorado Springs,80918,public,#395-435,95,27072,,9540,N/A,N/A
University of Colorado Denver,CO,Denver,80217,public,#236,75,35106,3.5,14055,1030-1260,21-27
University of Connecticut,CT,Storrs,06269,public,#58,55,43034,,18983,1220-1440,28-33
University of Dallas,TX,Irving,75062,private,#18,59,50880,3.9,1453,1170-1400,23-31
University of Dayton,OH,Dayton,45469,private,#133,74,47600,3.8,8416,1150-1360,23-30
University of Delaware,DE,Newark,19716,public,#76,72,39720,3.9,18883,1190-1360,26-31
University of Denver,CO,Denver,80208,private,#124,78,59340,3.8,6160,1220-1400,28-32
University of Detroit Mercy,MI,Detroit,48221,private,#185,91,31058,3.6,3156,960-1208,21-26
University of Dubuque,IA,Dubuque,52001,private,#84,85,40065,3.4,1444,950-1160,19-24
University of Evansville,IN,Evansville,47722,private,#13,76,42676,3.7,1717,1045-1300,21-28
University of Findlay,OH,Findlay,45840,private,#332,86,40186,3.6,3906,1020-1250,20-26
University of Florida,FL,Gainesville,32611,public,#28,23,28658,3.9,34552,1300-1490,28-33
University of Georgia,GA,Athens,30602,public,#47,43,30220,,30714,1220-1420,27-32
University of Guam,GU,Mangilao,96923,public,#64,100,11414,3.4,2669,N/A,N/A
University of Hartford,CT,West Hartford,06117,private,#304,83,47648,,3969,1090-1300,22-29
University of Hawaii at Hilo,HI,Hilo,96720,public,#352,51,20798,3.6,2593,960-1200,16-21
University of Hawaii at Manoa,HI,Honolulu,96822,public,#170,73,34218,3.7,14198,1070-1290,18-24
University of Hawaii--Maui College,HI,Kahului,96732,public,Unranked,,8420,,2724,N/A,N/A
University of Hawaii--West Oahu,HI,Kapolei,96707,public,#15,96,20544,3.4,2913,1040-1150,16-22
University of Health Sciences & Pharmacy in St. Louis,MO,St. Louis,63110,private,Unranked,91,31280,,255,N/A,N/A
University of Holy Cross,LA,New Orleans,70131,private,#86,87,19470,,774,N/A,16-21
University of Houston,TX,Houston,77204,public,#133,66,27110,3.5,37943,1160-1330,23-29
University of Houston--Clear Lake,TX,Houston,77058,public,#304,70,26081,3.6,6254,990-1173,18-23
University of Houston--Downtown,TX,Houston,77002,public,#62,88,21489,3.3,12856,920-1080,16-20
University of Houston--Victoria,TX,Victoria,77901,public,#95,53,16941,,3037,N/A,N/A
University of Idaho,ID,Moscow,83844,public,#185,74,28052,3.5,8809,990-1250,20-27
University of Illinois--Chicago,IL,Chicago,60607,public,#82,79,32833,3.5,21807,1110-1340,24-30
University of Illinois--Springfield,IL,Springfield,62703,public,#24,82,22017,3.5,2393,988-1220,20-27
University of Illinois Urbana-Champaign,IL,Champaign,61820,public,#35,45,36068,,35120,1340-1530,29-34
