institution.displayName,institution.schoolType,institution.state,institution.city,institution.zip,ranking.displayRank,ranking.sortRank,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
Goddard College,regional-universities-north,VT,Plainfield,05667,Unranked,-2,18477,,146,,N/A
God's Bible School and College,regional-colleges-midwest,OH,Cincinnati,45210,#57,57,7046,,336,,N/A
Goldey-Beacom College,regional-universities-north,DE,Wilmington,19808,#123,123,13050,3.3,620,920,21-22
Goldfarb School of Nursing at Barnes-Jewish College,health,MO,Saint Louis,63110,Unranked,-2,21515,,566,,N/A
Gonzaga University,national-universities,WA,Spokane,99258,#93,93,53500,3.7,5084,1210,26-31
Good Samaritan College of Nursing and Health Science,health,OH,Cincinnati,,Unranked,-2,15470,,305,,N/A
Goodwin University,regional-colleges-north,CT,East Hartford,,#41-44,-1,21198,,3156,,N/A
Gordon College,national-liberal-arts-colleges,MA,Wenham,01984,#163,163,28100,3.7,1294,1070,23-32
Gordon State College,regional-colleges-south,GA,Barnesville,30204,#91-99,-1,10381,,3101,900,16-23
Goshen College,regional-colleges-midwest,IN,Goshen,46526,#12,12,37760,3.5,717,990,22-29
Goucher College,national-liberal-arts-colleges,MD,Baltimore,21204,#124,124,51250,3.3,1002,1110,24-33
Governors State University,regional-universities-midwest,IL,University Park,60484,#149-164,-1,23536,3.9,2609,830,16-22
Grace Christian University,regional-colleges-midwest,MI,Grand Rapids,49509,#55,55,22350,,969,,N/A
Grace College and Seminary,regional-universities-midwest,IN,Winona Lake,46590,#55,55,29048,,1598,990,19-27
Graceland University,regional-universities-midwest,IA,Lamoni,50140,#121,121,33220,3.3,890,830,16-23
Grambling State University,regional-universities-south,LA,Grambling,71245,#100,100,16706,,4405,822,15-19
Grand Canyon University,national-universities,AZ,Phoenix,85017,#395-435,-1,17800,,65870,,N/A
Grand Valley State University,national-universities,MI,Allendale,49401,#235,235,20820,,19379,,N/A
Grand View University,regional-universities-midwest,IA,Des Moines,50316,#92,92,33450,,1561,920,17-22
Grays Harbor College,regional-colleges-west,WA,Aberdeen,98520,Unranked,-2,10284,,1469,,N/A
Grayson College,unranked,TX,,,Unranked,-2,5692,,4410,,N/A
Great Basin College,regional-colleges-west,NV,Elko,89801,#45-48,-1,13037,,3414,,N/A
Great Lakes Christian College,regional-colleges-midwest,MI,Lansing,48917,#68-74,-1,17220,,165,,N/A
Green River College,regional-colleges-west,WA,Auburn,98092,Unranked,-2,4916,,6559,,N/A
Greensboro College,regional-universities-south,NC,Greensboro,27401,#103,103,20400,3.4,730,,N/A
Greenville University,regional-universities-midwest,IL,Greenville,62246,#112,112,30598,3.2,948,850,16-25
Grinnell College,national-liberal-arts-colleges,IA,Grinnell,50112,#11,11,64862,,1759,1380,31-34
Grove City College,regional-colleges-north,PA,Grove City,16127,#4,4,20890,3.7,2289,1130,25-32
Guilford College,national-liberal-arts-colleges,NC,Greensboro,27410,#167,167,41140,,1192,950,17-23
Gulf Coast State College,regional-colleges-south,FL,Panama City,32401,Unranked,-2,8635,,4377,,N/A
Gustavus Adolphus College,national-liberal-arts-colleges,MN,St. Peter,56082,#67,67,54310,3.6,2088,,25-31
Gwynedd Mercy University,national-universities,PA,Gwynedd Valley,19437,#260,260,38310,3.4,1412,1015,25-28
Hamilton College,national-liberal-arts-colleges,NY,Clinton,13323,#16,16,65740,,2075,1420,33-34
Hamline University,regional-universities-midwest,MN,St. Paul,55104,#10,10,49031,,1782,1010,19-26
Hampden-Sydney College,national-liberal-arts-colleges,VA,Hampden-Sydney,23943,#116,116,52388,3.4,835,1040,23-29
Hampshire College,national-liberal-arts-colleges,MA,Amherst,01002,#139,139,56990,3.3,508,,N/A
Hampton University,national-universities,VA,Hampton,23668,#280,280,29312,3.3,2794,840,17-27
Hannibal-LaGrange University,regional-colleges-midwest,MO,Hannibal,63401,#53,53,25600,,658,1070,19-24
Hanover College,national-liberal-arts-colleges,IN,Hanover,47243,#112,112,41441,3.8,951,1090,24-29
Harding University,national-universities,AR,Searcy,72149,#304,304,24888,3.7,3523,1040,20-28
Hardin-Simmons University,national-universities,TX,Abilene,79698,#395-435,-1,31686,3.6,1347,1010,18-24
Harrisburg University of Science and Technology,regional-universities-north,PA,Harrisburg,17101,#151-167,-1,23900,3.3,649,,N/A
Harris-Stowe State University,regional-colleges-midwest,MO,St. Louis,63103,#68-74,-1,10690,3,1084,,N/A
Hartwick College,national-liberal-arts-colleges,NY,Oneonta,13820,#121,121,52849,3.5,1099,1020,19-27
Harvard University,national-universities,MA,Cambridge,02138,#3,3,59076,3.9,7240,1490,34-36
Harvey Mudd College,national-liberal-arts-colleges,CA,Claremont,91711,#16,16,66255,,906,1480,34-36
Haskell Indian Nations University,tribal,KS,Lawrence,66046,Unranked,-2,480,,701,,N/A
Hastings College,regional-colleges-midwest,NE,Hastings,68901,#20,20,36130,,924,,N/A
Haverford College,national-liberal-arts-colleges,PA,Haverford,19041,#21,21,68020,,1421,1430,33-35
Hawaii Pacific University,regional-universities-west,HI,Honolulu,96813,#73,73,31940,,4066,1070,22-28
Hebrew Theological College,national-liberal-arts-colleges,IL,Skokie,60077,#186-204,-1,14200,,170,,N/A
Heidelberg University,regional-universities-midwest,OH,Tiffin,44883,#53,53,33628,,932,1030,19-24
Hellenic College,national-liberal-arts-colleges,MA,Brookline,02445,Unranked,-2,22490,,39,,N/A
Henderson State University,regional-universities-south,AR,Arkadelphia,71999,#108,108,9768,,2228,978,18-24
Hendrix College,national-liberal-arts-colleges,AR,Conway,72032,#112,112,36650,3.9,1130,1130,23-31
Henry Ford College,regional-colleges-midwest,MI,Dearborn,48128,Unranked,-2,7348,,11379,,N/A
Heritage University,regional-universities-west,WA,Toppenish,98948,#50,50,19500,,811,,N/A
Herzing University,regional-universities-midwest,WI,Madison,53718,#149-164,-1,12750,,1664,,N/A
Herzing University-Atlanta,regional-colleges-south,GA,Atlanta,,#91-99,-1,12750,,572,,N/A
Herzing University-Brookfield,health,WI,Brookfield,,Unranked,-2,12750,,348,,N/A
Herzing University-Kenosha,health,WI,Kenosha,,Unranked,-2,12750,,644,,N/A
Herzing University--Minneapolis,unranked,MN,,,Unranked,-2,12750,,750,,N/A
Herzing University--Orlando,health,FL,Winter Park,,Unranked,-2,12750,,728,,N/A
Hesston College,regional-colleges-midwest,KS,Hesston,67062,Unranked,-2,29952,,331,,N/A
Highline College,regional-colleges-west,WA,Des Moines,98198,Unranked,-2,4948,,4951,,N/A
High Point University,regional-colleges-south,NC,High Point,27268,#1,1,46548,3.4,5036,1103,23-29
Hilbert College,regional-colleges-north,NY,Hamburg,14075,#28,28,29900,,728,898,N/A
Hillsdale College,national-liberal-arts-colleges,MI,Hillsdale,49242,#39,39,32092,3.9,1573,1360,30-34
Hiram College,regional-colleges-midwest,OH,Hiram,44234,#10,10,26265,3.4,1002,961,16-23
Hobart and William Smith Colleges,national-liberal-arts-colleges,NY,Geneva,14456,#70,70,63268,3.6,1559,1210,27-32
Hodges University,regional-universities-south,FL,Naples,34119,#123-135,-1,15500,,432,,N/A
Hofstra University,national-universities,NY,Hempstead,11549,#185,185,55450,3.8,6110,1190,26-31
Hollins University,national-liberal-arts-colleges,VA,Roanoke,24020,#124,124,41210,3.7,691,1113,N/A
Holy Apostles College and Seminary,regional-universities-north,CT,Cromwell,06416,Unranked,-2,9440,,278,,N/A
"Holy Cross College at Notre Dame, Indiana",national-liberal-arts-colleges,IN,Notre Dame,46556,#186-204,-1,35500,3.8,494,1110,N/A
Holy Family University,regional-universities-north,PA,Philadelphia,19114,#116,116,32558,,2171,930,18-24
Hood College,regional-universities-north,MD,Frederick,21701,#60,60,45870,3.5,1202,,N/A
