institution.displayName,institution.schoolType,institution.state,institution.city,institution.zip,ranking.displayRank,ranking.sortRank,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
Thomas Aquinas College,national-liberal-arts-colleges,CA,Santa Paula,93060,#67,67,28700,3.8,516,1215,27-32
Thomas College,regional-universities-north,ME,Waterville,04901,#146,146,30896,3.4,1304,980,N/A
Thomas Edison State University,regional-universities-north,NJ,Trenton,08608,Unranked,-2,9556,,8754,,N/A
Thomas Jefferson University,national-universities,PA,Philadelphia,19107,#142,142,45733,3.7,3771,1120,26-31
Thomas More College of Liberal Arts,national-liberal-arts-colleges,NH,Merrimack,03054,Unranked,-2,28000,,89,,N/A
Thomas More University,regional-universities-south,KY,Crestview Hills,41017,#79,79,38400,3.5,1829,1005,18-25
Thomas University,regional-universities-south,GA,Thomasville,31792,#122,122,11080,,793,780,11-29
Tiffin University,regional-universities-midwest,OH,Tiffin,44883,#145,145,30120,,2204,,N/A
Toccoa Falls College,regional-colleges-south,GA,Toccoa Falls,30598,#30,30,23250,3.5,2008,990,18-24
Tougaloo College,national-liberal-arts-colleges,MS,Tougaloo,39174,#181,181,11398,,657,790,16-21
Touro University,national-universities,NY,New York,10036,#195,195,21810,3.3,4860,1220,25-32
Touro University Nevada,medical,NV,Henderson,,Unranked,-2,10290,,55,,N/A
Towson University,regional-universities-north,MD,Towson,21252,#21,21,28326,3.8,16861,1010,19-25
Transylvania University,national-liberal-arts-colleges,KY,Lexington,40508,#121,121,44980,3.7,981,1120,23-29
Trevecca Nazarene University,national-universities,TN,Nashville,37210,#382,382,27300,3.5,1867,1010,18-25
Trine University,regional-colleges-midwest,IN,Angola,46703,#14,14,35600,3.6,3794,1020,22-28
Trinity Bible College and Graduate School,faith,ND,Ellendale,,Unranked,-2,18216,,161,,N/A
Trinity Christian College,regional-colleges-midwest,IL,Palos Heights,60463,#15,15,20100,3.5,854,910,20-29
Trinity College,national-liberal-arts-colleges,CT,Hartford,06106,#39,39,67420,,2167,1300,30-32
Trinity College of Nursing & Health Sciences,health,IL,Rock Island,61201,Unranked,-2,27955,,108,,N/A
Trinity International University,national-universities,IL,Deerfield,60015,#395-435,-1,33898,,517,980,15-21
Trinity University,national-liberal-arts-colleges,TX,San Antonio,78212,#59,59,51352,3.8,2512,1310,29-33
Trinity Washington University,regional-universities-north,DC,Washington,20017,#121,121,25610,,1441,,N/A
Trocair College,health,NY,BUffalo,14220,Unranked,-2,19250,,1101,,N/A
Troy University,regional-universities-south,AL,Troy,36082,#55,55,24480,3.4,10768,950,17-24
Truckee Meadows Community College,regional-colleges-west,NV,,,Unranked,-2,10639,,9431,,N/A
Truett McConnell University,regional-colleges-south,GA,Cleveland,30528,#63,63,25568,3.3,2683,1000,18-23
Truman State University,regional-universities-midwest,MO,Kirksville,63501,#5,5,17856,3.8,3622,1070,23-29
Tufts University,national-universities,MA,Medford,02155,#40,40,67844,,6815,1450,33-35
Tulane University,national-universities,LA,New Orleans,70118,#73,73,65538,3.7,7350,1370,31-33
Turtle Mountain Community College,tribal,ND,Belcourt,,Unranked,-2,2482,,472,,N/A
Tusculum University,regional-universities-south,TN,Greeneville,37743,#86,86,28500,3.4,1111,910,17-22
Tuskegee University,regional-universities-south,AL,Tuskegee,36088,#8,8,22679,3.3,2100,960,18-24
Tyler Junior College,regional-colleges-west,TX,Tyler,75701,Unranked,-2,5482,,11913,,N/A
Union College (KY),regional-universities-south,KY,Barbourville,40906,#113,113,30946,,789,955,16-22
Union College (NE),regional-colleges-midwest,NE,Lincoln,68506,#15,15,27990,,483,860,17-25
Union College (NY),national-liberal-arts-colleges,NY,Schenectady,12308,#45,45,66456,3.7,2107,1310,29-33
Union Institute and University,regional-universities-midwest,OH,Cincinnati,45206,Unranked,-2,17141,,489,,N/A
Union University,national-universities,TN,Jackson,38305,#249,249,38300,3.8,1899,1100,23-30
United States Air Force Academy,national-liberal-arts-colleges,CO,USAF Academy,80840,#7,7,0,3.8,4085,1310,28-33
United States Coast Guard Academy,regional-colleges-north,CT,New London,06320,#1,1,0,3.8,1037,1160,26-31
United States International University--Kenya,unranked,,Nairobi,,Unranked,-2,,,0,,N/A
United States Merchant Marine Academy,regional-colleges-north,NY,Kings Point,11024,#3,3,2016,,931,1150,25-28
United States Military Academy at West Point,national-liberal-arts-colleges,NY,West Point,10996,#8,8,0,3.9,4393,1220,27-33
United States Naval Academy,national-liberal-arts-colleges,MD,Annapolis,21402,#3,3,0,3.7,4450,1200,25-32
United States University,health,CA,Chula Vista,91911,Unranked,-2,6630,,188,,N/A
United Tribes Technical College,tribal,ND,Bismarck,,Unranked,-2,4252,,474,,N/A
Unitek College,unranked,CA,,,Unranked,-2,36630,,4188,,N/A
Unity Environmental University,regional-universities-north,ME,Unity,04988,#151-167,-1,12640,,1991,,N/A
Universidad Adventista de las Antillas,regional-universities-south,PR,Mayaguez,00681,#96,96,7700,,863,,N/A
Universidad Ana G. Mendez--Carolina Campus,regional-universities-south,PR,Carolina,00985,#123-135,-1,6920,,5495,,N/A
Universidad Ana G. Mendez--Cupey Campus,regional-universities-south,PR,Rio Piedras,00928,#123-135,-1,6920,,6116,,N/A
Universidad Ana G. Mendez--Gurabo Campus,national-universities,PR,Gurabo,00778,#395-435,-1,6920,,8772,,N/A
Universidad Central Del Caribe,medical,PR,Bayamon,,Unranked,-2,6597,,94,,N/A
Universidad del Sagrado Corazon,regional-universities-south,PR,Santurce,00914,#120,120,6170,,3611,,N/A
Universidad Politecnica de Puerto Rico,regional-universities-south,PR,Hato Rey,00919,#123-135,-1,9102,3.5,3665,,N/A
University at Albany--SUNY,national-universities,NY,Albany,12222,#133,133,28998,3.8,12264,1120,22-31
University at Buffalo--SUNY,national-universities,NY,Buffalo,14214,#76,76,30571,3.8,20761,1190,25-32
University of Advancing Technology,regional-colleges-west,AZ,Tempe,85283,#27,27,18794,,851,,N/A
The University of Akron,national-universities,OH,Akron,44325,#361,361,17239,3.5,11323,980,18-25
The University of Alabama,national-universities,AL,Tuscaloosa,35487,#170,170,33200,3.8,32458,1130,23-31
University of Alabama at Birmingham,national-universities,AL,Birmingham,35294,#142,142,26520,3.8,13032,1200,23-30
University of Alabama at Huntsville,national-universities,AL,Huntsville,35899,#227,227,24770,,7169,1226,25-31
University of Alaska--Anchorage,regional-universities-west,AK,Anchorage,99508,#86,86,25356,3.4,9991,1030,18-25
University of Alaska--Fairbanks,national-universities,AK,Fairbanks,99775,#389,389,22032,,5844,1110,17-27
University of Alaska--Southeast,regional-universities-west,AK,Juneau,99801,#105-115,-1,21096,,1724,,N/A
University of Antelope Valley,regional-colleges-west,CA,Lancaster,,#12,12,67080,,550,,N/A
University of Arizona,national-universities,AZ,Tucson,85721,#115,115,37355,3.5,40407,1140,21-29
University of Arkansas,national-universities,AR,Fayetteville,72701,#178,178,28772,3.8,26269,1030,21-29
University of Arkansas at Little Rock,national-universities,AR,Little Rock,72204,#390,390,18957,3.3,6236,770,18-24
University of Arkansas for Medical Sciences,special-focus-research,AR,Little Rock,72205,Unranked,-2,16114,,1084,,N/A
University of Arkansas -- Fort Smith,regional-colleges-south,AR,Fort Smith,72913,#34,34,17095,3.4,5335,,18-23
University of Arkansas--Monticello,regional-universities-south,AR,Monticello,71656,#123-135,-1,14281,,2258,,N/A
University of Arkansas--Pine Bluff,regional-colleges-south,AR,Pine Bluff,71601,#41,41,15838,3,2182,805,14-18
University of Baltimore,regional-universities-north,MD,Baltimore,21201,#104,104,23490,3.1,1406,920,N/A
University of Bridgeport,national-universities,CT,Bridgeport,06604,#389,389,35760,,1873,950,N/A
"University of California, Berkeley",national-universities,CA,Berkeley,94720,#15,15,48465,3.9,32831,,N/A
"University of California, Davis",national-universities,CA,Davis,95616,#28,28,46043,,31532,,N/A
"University of California, Irvine",national-universities,CA,Irvine,92697,#33,33,47759,,28661,,N/A
"University of California, Los Angeles",national-universities,CA,Los Angeles,90095,#15,15,46326,3.9,32423,,N/A
"University of California, Merced",national-universities,CA,Merced,95343,#60,60,43777,3.6,8344,,N/A
"University of California, Riverside",national-universities,CA,Riverside,92521,#76,76,46266,3.9,22903,,N/A
"University of California, San Diego",national-universities,CA,La Jolla,92093,#28,28,48630,3.9,33096,,N/A
"University of California, Santa Barbara",national-universities,CA,Santa Barbara,93106,#35,35,45658,3.9,23460,,N/A
"University of California, Santa Cruz",national-universities,CA,Santa Cruz,95064,#82,82,47862,3.9,17502,,N/A
University of Central Arkansas,national-universities,AR,Conway,72035,#394-435,-1,17258,3.6,7994,940,19-25
University of Central Florida,national-universities,FL,Orlando,32816,#124,124,22467,3.9,58749,1200,25-29
University of Central Missouri,regional-universities-midwest,MO,Warrensburg,64093,#67,67,18060,3.6,7345,,18-24
University of Central Oklahoma,regional-universities-west,OK,Edmond,73034,#67,67,19121,,11771,,18-24
University of Charleston,national-universities,WV,Charleston,25304,#395-435,-1,31900,,2162,,N/A
University of Chicago,national-universities,IL,Chicago,60637,#12,12,65619,,7470,1500,34-35
University of Cincinnati,national-universities,OH,Cincinnati,45221,#142,142,27140,3.7,29989,1160,24-29
University of Cincinnati--UC Blue Ash College,regional-colleges-midwest,OH,Cincinnati,45236,Unranked,-2,15588,,6133,,N/A
University of Colorado Boulder,national-universities,CO,Boulder,80309,#105,105,41966,3.7,31103,1160,26-31
University of Colorado Colorado Springs,national-universities,CO,Colorado Springs,80918,#395-435,-1,27072,,9540,,N/A
University of Colorado Denver,national-universities,CO,Denver,80217,#236,236,35106,3.5,14055,1030,21-27
University of Connecticut,national-universities,CT,Storrs,06269,#58,58,43034,,18983,1220,28-33
University of Dallas,regional-universities-west,TX,Irving,75062,#18,18,50880,3.9,1453,1170,23-31
University of Dayton,national-universities,OH,Dayton,45469,#133,133,47600,3.8,8416,1150,23-30
University of Delaware,national-universities,DE,Newark,19716,#76,76,39720,3.9,18883,1190,26-31
University of Denver,national-universities,CO,Denver,80208,#124,124,59340,3.8,6160,1220,28-32
University of Detroit Mercy,national-universities,MI,Detroit,48221,#185,185,31058,3.6,3156,960,21-26
University of Dubuque,regional-universities-midwest,IA,Dubuque,52001,#84,84,40065,3.4,1444,950,19-24
University of Evansville,regional-universities-midwest,IN,Evansville,47722,#13,13,42676,3.7,1717,1045,21-28
University of Findlay,national-universities,OH,Findlay,45840,#332,332,40186,3.6,3906,1020,20-26
University of Florida,national-universities,FL,Gainesville,32611,#28,28,28658,3.9,34552,1300,28-33
University of Georgia,national-universities,GA,Athens,30602,#47,47,30220,,30714,1220,27-32
University of Guam,regional-universities-west,GU,Mangilao,96923,#64,64,11414,3.4,2669,,N/A
University of Hartford,national-universities,CT,West Hartford,06117,#304,304,47648,,3969,1090,22-29
University of Hawaii at Hilo,national-universities,HI,Hilo,96720,#352,352,20798,3.6,2593,960,16-21
University of Hawaii at Manoa,national-universities,HI,Honolulu,96822,#170,170,34218,3.7,14198,1070,18-24
University of Hawaii--Maui College,regional-colleges-west,HI,Kahului,96732,Unranked,-2,8420,,2724,,N/A
University of Hawaii--West Oahu,regional-colleges-west,HI,Kapolei,96707,#15,15,20544,3.4,2913,1040,16-22
University of Health Sciences & Pharmacy in St. Louis,health,MO,St. Louis,63110,Unranked,-2,31280,,255,,N/A
University of Holy Cross,regional-universities-south,LA,New Orleans,70131,#86,86,19470,,774,,16-21
University of Houston,national-universities,TX,Houston,77204,#133,133,27110,3.5,37943,1160,23-29
University of Houston--Clear Lake,national-universities,TX,Houston,77058,#304,304,26081,3.6,6254,990,18-23
University of Houston--Downtown,regional-universities-west,TX,Houston,77002,#62,62,21489,3.3,12856,920,16-20
University of Houston--Victoria,regional-universities-west,TX,Victoria,77901,#95,95,16941,,3037,,N/A
University of Idaho,national-universities,ID,Moscow,83844,#185,185,28052,3.5,8809,990,20-27
University of Illinois--Chicago,national-universities,IL,Chicago,60607,#82,82,32833,3.5,21807,1110,24-30
University of Illinois--Springfield,regional-universities-midwest,IL,Springfield,62703,#24,24,22017,3.5,2393,988,20-27
University of Illinois Urbana-Champaign,national-universities,IL,Champaign,61820,#35,35,36068,,35120,1340,29-34
University of Indianapolis,national-universities,IN,Indianapolis,46227,#304,304,36136,3.5,3613,960,19-26
University of Iowa,national-universities,IA,Iowa City,52242,#93,93,32927,3.8,21973,1130,22-28
University of Jamestown,regional-universities-midwest,ND,Jamestown,58405,#112,112,24200,,1097,900,17-24
University of Kansas,national-universities,KS,Lawrence,66045,#151,151,28035,3.7,19241,1090,21-28
University of Kentucky,national-universities,KY,Lexington,40506,#159,159,33406,3.6,22735,1070,21-28
University of La Verne,national-universities,CA,La Verne,91750,#170,170,48300,3.5,2414,970,18-25
University of Louisiana at Lafayette,national-universities,LA,Lafayette,70504,#345,345,24110,3.4,12950,1125,23-27
University of Louisiana at Monroe,national-universities,LA,Monroe,71209,#369,369,21679,,6472,968,20-25
University of Louisville,national-universities,KY,Louisville,40292,#195,195,29174,3.6,15921,1070,19-27
University of Lynchburg,national-universities,VA,Lynchburg,24501,#345,345,35540,,1589,1000,21-28
University of Maine,national-universities,ME,Orono,04469,#249,249,35346,3.4,9774,1060,22-30
University of Maine at Farmington,regional-colleges-north,ME,Farmington,04938,#11,11,23079,3.2,1558,990,N/A
University of Maine--Augusta,regional-colleges-north,ME,Augusta,04330,#41-44,-1,19778,,4374,,N/A
University of Maine--Fort Kent,regional-colleges-north,ME,Fort Kent,04743,#35,35,14325,,1194,,N/A
University of Maine--Presque Isle,regional-colleges-north,ME,Presque Isle,04769,#36,36,14325,,1573,,N/A
University of Mary,national-universities,ND,Bismarck,58504,#376,376,21062,,2579,,N/A
University of Mary Hardin-Baylor,national-universities,TX,Belton,76513,#394-435,-1,33150,3.6,3072,970,19-27
"University of Maryland, Baltimore",special-focus-research,MD,Baltimore,21201,Unranked,-2,42654,,930,,N/A
"University of Maryland, Baltimore County",national-universities,MD,Baltimore,21250,#133,133,30308,3.9,10625,1210,23-29
"University of Maryland, College Park",national-universities,MD,College Park,20742,#46,46,40306,,30353,1360,30-34
"University of Maryland, Eastern Shore",national-universities,MD,Princess Anne,21853,#369,369,19728,2.9,1933,840,17-22
University of Maryland Global Campus,regional-universities-north,MD,Adelphi,20783,#151-167,-1,12336,,45100,,N/A
University of Mary Washington,national-liberal-arts-colleges,VA,Fredericksburg,22401,#154,154,31154,3.6,3493,1170,25-30
University of Massachusetts--Amherst,national-universities,MA,Amherst,01003,#67,67,39293,,24391,1260,29-33
University of Massachusetts--Boston,national-universities,MA,Boston,02125,#216,216,37211,3.4,12221,1080,24-29
University of Massachusetts--Dartmouth,national-universities,MA,North Dartmouth,02747,#209,209,30992,3.3,5517,1020,22-31
University of Massachusetts--Lowell,national-universities,MA,Lowell,01854,#159,159,35396,3.7,12391,1170,25-31
University of Memphis,national-universities,TN,Memphis,38152,#269,269,18024,3.4,16708,930,17-24
University of Miami,national-universities,FL,Coral Gables,33124,#67,67,59926,3.8,12504,1310,30-33
University of Michigan--Ann Arbor,national-universities,MI,Ann Arbor,48109,#21,21,57273,3.9,32695,1350,31-34
University of Michigan--Dearborn,regional-universities-midwest,MI,Dearborn,48128,#17,17,31360,3.7,6116,1010,22-28
University of Michigan--Flint,national-universities,MI,Flint,48502,#390,390,25830,3.5,4609,930,20-28
University of Minnesota Crookston,regional-colleges-midwest,MN,Crookston,56716,#32,32,12412,,2303,,N/A
University of Minnesota Duluth,regional-universities-midwest,MN,Duluth,55812,#21,21,19762,3.5,8810,1120,22-28
University of Minnesota Morris,national-liberal-arts-colleges,MN,Morris,56267,#130,130,16438,3.3,1068,,N/A
"University of Minnesota, Twin Cities",national-universities,MN,Minneapolis,55455,#53,53,36402,,39248,1290,27-32
University of Mississippi,national-universities,MS,University,38677,#163,163,26980,3.6,17302,1030,22-29
University of Missouri,national-universities,MO,Columbia,65211,#124,124,34322,,23752,1140,23-30
University of Missouri--Kansas City,national-universities,MO,Kansas City,64110,#269,269,30734,3.5,10190,1245,21-30
University of Missouri--St. Louis,national-universities,MO,St. Louis,63121,#260,260,31516,3.4,12431,1040,20-26
University of Mobile,regional-universities-south,AL,Mobile,36613,#76,76,26120,3.6,1845,1115,21-27
University of Montana,national-universities,MT,Missoula,59812,#361,361,31622,3.3,7215,1080,19-26
University of Montana Western,regional-colleges-west,MT,Dillon,59725,#23,23,18961,3.3,1424,870,16-23
University of Montevallo,regional-universities-south,AL,Montevallo,35115,#20,20,26730,3.6,2172,970,19-26
University of Mount Olive,regional-universities-south,NC,Mount Olive,28365,#78,78,23591,,2085,990,16-21
University of Mount Union,regional-universities-midwest,OH,Alliance,44601,#32,32,35400,3.5,1889,960,19-26
University of Nebraska at Kearney,regional-universities-midwest,NE,Kearney,68849,#29,29,15920,3.6,4269,1000,19-25
University of Nebraska -- Lincoln,national-universities,NE,Lincoln,68588,#159,159,27748,3.6,19189,1110,22-28
University of Nebraska Medical Center,special-focus-research,NE,Omaha,68198,Unranked,-2,33890,,936,,N/A
University of Nebraska Omaha,national-universities,NE,Omaha,68182,#304,304,21718,3.5,12026,,18-26
"University of Nevada, Las Vegas",national-universities,NV,Las Vegas,89154,#269,269,26099,3.4,25365,1000,18-24
"University of Nevada, Reno",national-universities,NV,Reno,89557,#195,195,25950,3.4,16973,1060,19-26
University of New England,national-universities,ME,Biddeford,04005,#260,260,42550,3.4,3718,,N/A
University of New Hampshire,national-universities,NH,Durham,03824,#115,115,38882,3.6,11480,1120,26-31
University of New Hampshire at Manchester,national-liberal-arts-colleges,NH,Manchester,03102,#146,146,34664,,653,1110,N/A
University of New Haven,regional-universities-north,CT,West Haven,06516,#87,87,45730,3.4,4817,1090,N/A
University of New Mexico,national-universities,NM,Albuquerque,87131,#236,236,26452,3.4,15914,,18-25
University of New Orleans,national-universities,LA,New Orleans,70148,#394-435,-1,14190,3.2,5804,940,17-24
University of North Alabama,regional-universities-south,AL,Florence,35632,#33,33,23150,3.6,7492,925,19-26
University of North Carolina Asheville,national-liberal-arts-colleges,NC,Asheville,28804,#139,139,24809,3.5,2914,1140,21-28
University of North Carolina at Chapel Hill,national-universities,NC,Chapel Hill,27599,#22,22,39338,,20210,1350,30-34
University of North Carolina at Greensboro,national-universities,NC,Greensboro,27402,#216,216,22539,3.6,14198,1110,22-27
University of North Carolina--Charlotte,national-universities,NC,Charlotte,28223,#178,178,21338,3.6,23461,1070,20-26
University of North Carolina--Pembroke,regional-universities-south,NC,Pembroke,28372,#45,45,7496,3.5,5643,935,16-21
University of North Carolina School of the Arts,specialty-arts,NC,Winston-Salem,27127,Unranked,-2,26622,,938,,N/A
University of North Carolina--Wilmington,national-universities,NC,Wilmington,28403,#201,201,22985,3.9,14294,1220,24-29
University of North Dakota,national-universities,ND,Grand Forks,58202,#236,236,15570,3.6,9928,1090,20-26
University of Northern Colorado,national-universities,CO,Greeley,80639,#352,352,26204,3.5,6728,990,20-27
University of Northern Iowa,regional-universities-midwest,IA,Cedar Falls,50614,#11,11,21272,3.6,7739,1020,20-26
University of North Florida,national-universities,FL,Jacksonville,32224,#236,236,20107,3.6,14171,1010,18-25
University of North Georgia,regional-universities-south,GA,Dahlonega,30597,#41,41,21170,3.6,17256,1010,19-25
University of North Texas,national-universities,TX,Denton,76203,#260,260,24644,,33024,1000,19-27
University of North Texas at Dallas,regional-universities-west,TX,Dallas,75241,#44,44,22117,3.3,3001,840,14-20
University of Northwestern Ohio,regional-colleges-midwest,OH,Lima,45805,#64,64,12470,,2687,,N/A
University of Northwestern--St. Paul,regional-universities-midwest,MN,St. Paul,55113,#45,45,36830,3.6,3161,1016,21-28
University of Notre Dame,national-universities,IN,Notre Dame,46556,#20,20,62693,,8971,1420,32-35
University of Oklahoma,national-universities,OK,Norman,73019,#124,124,25880,3.7,21294,1130,23-29
University of Oklahoma Health Sciences Center,special-focus-research,OK,Oklahoma City,73190,Unranked,-2,24731,,853,,N/A
The University of Olivet,regional-colleges-midwest,MI,Olivet,49076,#38,38,33076,,851,910,18-23
University of Oregon,national-universities,OR,Eugene,97403,#98,98,41194,3.8,19565,1140,24-30
University of Pennsylvania,national-universities,PA,Philadelphia,19104,#6,6,66104,3.9,9760,1500,34-35
University of Pikeville,national-universities,KY,Pikeville,41501,#395-435,-1,24150,3.5,1483,940,17-23
University of Pittsburgh,national-universities,PA,Pittsburgh,15260,#67,67,39890,3.9,19928,1280,29-33
University of Pittsburgh at Bradford,regional-colleges-north,PA,Bradford,16701,#20,20,26494,3.3,1074,980,18-29
University of Pittsburgh at Greensburg,national-liberal-arts-colleges,PA,Greensburg,15601,#186-204,-1,26504,,1306,1030,18-25
University of Pittsburgh at Johnstown,regional-colleges-north,PA,Johnstown,15904,#12,12,26520,3.6,2039,,19-28
University of Portland,regional-universities-west,OR,Portland,97203,#2,2,54900,3.4,3374,1220,27-31
University of Providence,regional-universities-west,MT,Great Falls,59401,#98,98,27456,,665,1140,17-23
University of Puerto Rico--Aguadilla,regional-colleges-south,PR,Aguadilla,00604,#52,52,5954,,1985,863,N/A
University of Puerto Rico--Arecibo,regional-colleges-south,PR,Arecibo,00614,#34,34,5324,3.8,2897,,N/A
University of Puerto Rico--Bayamon,regional-colleges-south,PR,Bayamon,00959,#81,81,6884,,3022,,N/A
University of Puerto Rico--Cayey,national-liberal-arts-colleges,PR,Cayey,00736,#167,167,5354,,2559,905,N/A
University of Puerto Rico--Humacao,regional-colleges-south,PR,Humacao,00792,#33,33,5364,,2848,,N/A
University of Puerto Rico--Mayaguez,regional-universities-south,PR,Mayaguez,00681,#47,47,5274,,11246,,N/A
University of Puerto Rico--Ponce,regional-colleges-south,PR,Ponce,00732,#52,52,5354,,2262,,N/A
University of Puerto Rico--Rio Piedras,national-universities,PR,Rio Piedras,00931,#320,320,2168,,10207,,N/A
University of Puerto Rico--Utuado,regional-colleges-south,PR,Utuado,00641,#91-99,-1,5354,,457,,N/A
University of Puget Sound,national-liberal-arts-colleges,WA,Tacoma,98416,#89,89,59900,3.5,1712,1170,26-32
University of Redlands,regional-universities-west,CA,Redlands,92373,#7,7,55678,3.8,2312,1113,25-30
University of Rhode Island,national-universities,RI,Kingston,02881,#151,151,35804,3.6,13927,1050,25-30
University of Richmond,national-liberal-arts-colleges,VA,Univ. of Richmond,23173,#25,25,62600,3.8,3145,1400,32-34
University of Rio Grande,regional-colleges-midwest,OH,Rio Grande,45674,#62,62,20060,,1850,,N/A
University of Rochester,national-universities,NY,Rochester,14627,#47,47,64384,3.8,6767,1390,31-34
University of Saint Francis,regional-universities-midwest,IN,Fort Wayne,46808,#76,76,35420,3.3,1576,930,18-24
University of Saint Joseph,regional-universities-north,CT,West Hartford,06117,#80,80,45908,3.5,831,1070,N/A
University of Saint Katherine,regional-colleges-west,CA,San Marcos,92069,#45-48,-1,28800,3.5,204,,N/A
University of Saint Mary,regional-universities-midwest,KS,Leavenworth,66048,#95,95,33890,3.3,903,935,16-23
University of San Diego,national-universities,CA,San Diego,92110,#98,98,56444,3.9,5669,,N/A
University of San Francisco,national-universities,CA,San Francisco,94117,#115,115,58222,3.7,6018,1210,27-31
University of Science and Arts of Oklahoma,national-liberal-arts-colleges,OK,Chickasha,73018,#186-204,-1,19470,,825,,N/A
University of Scranton,regional-universities-north,PA,Scranton,18510,#5,5,52034,3.5,3593,1150,25-31
University of Silicon Valley,regional-colleges-west,CA,San Jose,95134,#14,14,27850,2.8,379,850,N/A
University of Sioux Falls,regional-universities-midwest,SD,Sioux Falls,57105,#76,76,20740,3.5,1325,1010,19-25
University of South Alabama,national-universities,AL,Mobile,36688,#382,382,22640,,8491,1003,20-26
University of South Carolina,national-universities,SC,Columbia,29208,#124,124,33928,3.6,27343,1180,27-32
University of South Carolina Aiken,regional-universities-south,SC,Aiken,29801,#59,59,21218,,3145,950,18-24
University of South Carolina Beaufort,regional-colleges-south,SC,Bluffton,29909,#44,44,21776,3.1,2053,930,18-25
University of South Carolina Upstate,regional-colleges-south,SC,Spartanburg,29303,#22,22,23260,2.4,4458,950,20-25
University of South Dakota,national-universities,SD,Vermillion,57069,#269,269,12942,3.5,7132,1020,19-25
University of Southern California,national-universities,CA,Los Angeles,90089,#28,28,68237,3.8,20699,1450,32-35
University of Southern Indiana,regional-universities-midwest,IN,Evansville,47712,#76,76,21788,3.5,5539,1030,21-26
University of Southern Maine,regional-universities-north,ME,Portland,04104,#144,144,26470,,5956,995,19-24
University of Southern Mississippi,national-universities,MS,Hattiesburg,39406,#352,352,11618,3.4,10258,,19-27
University of South Florida,national-universities,FL,Tampa,33620,#89,89,17324,,38046,1140,24-29
University of St. Francis,national-universities,IL,Joliet,60435,#280,280,37000,3.5,1417,980,22-30
University of St. Thomas (MN),national-universities,MN,St. Paul,55105,#163,163,52284,3.7,5942,1120,21-28
University of St. Thomas (TX),national-universities,TX,Houston,77006,#216,216,33660,3.6,2729,1010,24-29
University of Tampa,regional-universities-south,FL,Tampa,33606,#16,16,33424,3.5,9602,1080,22-28
University of Tennessee at Chattanooga,national-universities,TN,Chattanooga,37403,#345,345,25966,3.6,9884,1023,20-26
University of Tennessee at Martin,regional-universities-south,TN,Martin,38238,#27,27,15952,3.6,6170,1020,19-25
University of Tennessee Health Sciences Center,special-focus-research,TN,Memphis,38163,Unranked,-2,20425,,264,,N/A
"University of Tennessee, Knoxville",national-universities,TN,Knoxville,37996,#105,105,31434,3.7,27039,1170,25-31
University of Tennessee Southern,regional-colleges-south,TN,Pulaski,38478,#47,47,10200,3.5,896,1025,19-23
The University of Texas at Arlington,national-universities,TX,Arlington,76019,#236,236,29660,,30791,1000,18-26
University of Texas at Austin,national-universities,TX,Austin,78705,#32,32,41070,,41309,,29-34
The University of Texas at Dallas,national-universities,TX,Richardson,75080,#115,115,44812,,21617,1170,24-32
The University of Texas at El Paso,national-universities,TX,El Paso,79968,#304,304,24952,3.3,20165,870,16-22
University of Texas at San Antonio,national-universities,TX,San Antonio,78249,#280,280,26798,,29654,1010,19-26
The University of Texas at Tyler,national-universities,TX,Tyler,75799,#361,361,25198,3.4,6971,1000,19-24
University of Texas Health Science Center--Houston,special-focus-research,TX,Houston,77225,Unranked,-2,37872,,685,,N/A
University of Texas Health Science Center--San Antonio,special-focus-research,TX,San Antonio,78284,Unranked,-2,22277,,787,,N/A
University of Texas Medical Branch--Galveston,special-focus-research,TX,Galveston,77555,Unranked,-2,24213,,672,,N/A
University of Texas Permian Basin,regional-universities-west,TX,Odessa,79762,#52,52,23212,3.4,4640,910,16-21
University of Texas Rio Grande Valley,national-universities,TX,Edinburg,78539,#227,227,19333,,26434,910,16-22
University of the Arts,specialty-arts,PA,Philadelphia,19102,Unranked,-2,51130,,1170,,N/A
University of the Cumberlands,national-universities,KY,Williamsburg,40769,#395-435,-1,9875,3.4,5174,980,16-23
University of the District of Columbia,regional-universities-north,DC,Washington,20008,#148,148,18260,,3061,,N/A
University of the Incarnate Word,national-universities,TX,San Antonio,78209,#296,296,35660,3.5,4724,910,15-23
University of the Ozarks,regional-colleges-south,AR,Clarksville,72830,#7,7,25950,3.4,784,960,19-24
University of the Pacific,national-universities,CA,Stockton,95211,#142,142,55340,3.6,3294,1120,25-33
University of the Potomac,specialty-business,DC,Washington,20005,Unranked,-2,6660,,171,,N/A
The University of the South,national-liberal-arts-colleges,TN,Sewanee,37383,#51,51,53704,,1613,1233,27-32
University of the Southwest,regional-universities-west,NM,Hobbs,88240,#105-115,-1,17200,,414,,N/A
University of the Virgin Islands,regional-universities-south,VI,St. Thomas,00802,#73,73,15520,3.1,1378,800,21-23
University of the West,national-liberal-arts-colleges,CA,Rosemead,91770,Unranked,-2,14018,,77,,N/A
University of Toledo,national-universities,OH,Toledo,43606,#280,280,21280,3.5,11965,1060,21-28
