institution.displayName,institution.state,institution.city,institution.isPublic,ranking.displayRank,searchData.tuition.rawValue,searchData.acceptanceRate.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Bon Secours Memorial College of Nursing,VA,Richmond,True,Unranked,15300,,,427,N/A,N/A
Boricua College,NY,New York,True,#23,12025,,,377,N/A,N/A
Boston Architectural College,MA,Boston,True,Unranked,22144,,,290,N/A,N/A
Boston College,MA,Chestnut Hill,True,#39,67680,17,,9484,1435-1540,33-35
Boston University,MA,Boston,True,#43,65168,14,3.9,18459,1350-1500,31-34
Bowdoin College,ME,Brunswick,True,#9,64910,9,,1915,1460-1560,33-35
Bowie State University,MD,Bowie,True,#130,19839,87,3.2,5378,800-1050,15-20
Bowling Green State University,OH,Bowling Green,True,#280,21424,79,3.6,13853,990-1200,20-25
Bradley University,IL,Peoria,True,#185,39680,75,3.8,4143,1050-1280,24-30
Brandeis University,MA,Waltham,True,#60,62722,39,3.8,3687,1340-1520,31-34
Brazosport College,TX,Lake Jackson,True,Unranked,4748,,,3916,N/A,N/A
Brenau University,GA,Gainesville,True,#394-435,33275,87,3.4,1367,970-1160,18-23
Brescia University,KY,Owensboro,True,#44,30450,51,,577,920-1190,18-25
Brevard College,NC,Brevard,True,#33,31250,40,3.2,732,960-1150,18-22
Brewton-Parker College,GA,Mount Vernon,True,#91-99,20040,95,3.2,911,900-1130,17-21
Briar Cliff University,IA,Sioux City,True,#394-435,34498,,3.2,709,N/A,17-22
Bridgewater College,VA,Bridgewater,True,#167,41350,90,,1385,1020-1230,22-28
Bridgewater State University,MA,Bridgewater,True,#91,17444,88,3.3,8116,1030-1215,19-25
Brigham Young University,UT,Provo,True,#115,6496,67,3.9,31401,1280-1468,27-32
Brigham Young University--Hawaii,HI,Laie Oahu,True,#9,6250,88,,2893,1075-1260,21-27
Brigham Young University--Idaho,ID,Rexburg,True,#8,4536,97,,44304,990-1200,20-26
Brookline College--Albuquerque,NM,Albuquerque,True,Unranked,91801,,,556,N/A,N/A
Brookline College-Phoenix,AZ,Phoenix,True,Unranked,89404,,,1000,N/A,N/A
Broward College,FL,Fort Lauderdale,True,#47,10329,100,,30057,N/A,N/A
Brown University,RI,Providence,True,#9,68230,5,,7639,1490-1580,34-36
Bryan College,TN,Dayton,True,#63,18050,,,1376,N/A,N/A
Bryan College of Health Sciences,NE,Lincoln,True,Unranked,17870,91,,620,N/A,N/A
