institution.displayName,institution.state,institution.city,institution.isPublic,ranking.displayRank,searchData.tuition.rawValue,searchData.acceptanceRate.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
North Dakota State University,ND,Fargo,True,#249,15646,96,3.5,10096,968-1216,19-25
Northeastern Illinois University,IL,Chicago,True,#139,22725,63,,4205,N/A,12-22
Northeastern State University,OK,Tahlequah,True,#62,17172,99,3.4,5225,N/A,17-23
Northeastern University,MA,Boston,True,#53,63141,7,,16302,1440-1550,33-35
Northern Arizona University,AZ,Flagstaff,True,#249,28900,80,3.7,23207,1050-1270,19-25
Northern Illinois University,IL,DeKalb,True,#269,12504,71,3.4,11429,N/A,N/A
Northern Kentucky University,KY,Highland Heights,True,#382,21480,86,3.4,10776,1030-1290,19-25
Northern Marianas College,MP,Saipan,True,#40,5520,,,1298,N/A,N/A
Northern Michigan University,MI,Marquette,True,#60,18800,71,3.4,6434,N/A,N/A
Northern New Mexico College,NM,Espanola,True,#32,14329,,,1136,N/A,N/A
Northern State University,SD,Aberdeen,True,#88,11947,78,3.4,2851,800-1150,18-24
North Florida College,FL,Madison,True,#13,11400,100,,1127,N/A,N/A
North Greenville University,SC,Tigerville,True,#36,24500,76,3.8,1839,1060-1240,22-28
Northland College,WI,Ashland,True,#33,41237,58,,531,1010-1160,20-27
North Park University,IL,Chicago,True,#30,34020,67,,1849,890-1162,20-26
North Seattle College,WA,Seattle,True,Unranked,5547,,,4887,N/A,N/A
Northwestern College,IA,Orange City,True,#43,35300,88,3.6,1169,1030-1320,20-25
Northwestern Health Sciences University,MN,Bloomington,True,Unranked,11007,,,387,N/A,N/A
Northwestern Michigan College,MI,Traverse City,True,Unranked,12048,,,3296,N/A,N/A
Northwestern Oklahoma State University,OK,Alva,True,#86,11664,56,3.4,1647,830-1070,16-22
Northwestern State University of Louisiana,LA,Natchitoches,True,#73,19460,92,3.3,8358,925-1120,18-23
Northwestern University,IL,Evanston,True,#9,65997,7,,8659,1490-1570,33-35
Northwest Florida State College,FL,Niceville,True,Unranked,11625,,,4697,N/A,N/A
Northwest Indian College,WA,Bellingham,True,Unranked,3969,,,622,N/A,N/A
Northwest Missouri State University,MO,Maryville,True,#76,19461,80,3.5,5308,938-1158,18-24
Northwest Nazarene University,ID,Nampa,True,#50,39370,88,3.7,1140,1000-1240,19-27
Northwest University,WA,Kirkland,True,#44,36036,95,3.6,723,1050-1320,22-30
Northwood University,MI,Midland,True,Unranked,33000,80,3.5,1038,N/A,N/A
Norwich University,VT,Northfield,True,#90,50600,83,3.3,2854,1040-1290,22-28
Notre Dame College of Ohio,OH,Cleveland,True,#53,31950,82,,1376,890-1100,16-22
Notre Dame of Maryland University,MD,Baltimore,True,#54,41910,70,3.4,660,998-1303,N/A
Nova Southeastern University,FL,Ft. Lauderdale,True,#227,37080,76,3.9,6971,1040-1310,20-27
Nueta Hidatsa Sahnish College,ND,New Town,True,Unranked,3870,,,187,N/A,N/A
Oakland City University,IN,Oakland City,True,#304,27150,78,,699,895-1150,17-23
Oakland University,MI,Rochester,True,#332,23188,90,3.5,12841,930-1190,17-26
Oak Point University,IL,Oak Brook,True,Unranked,23188,,,507,N/A,N/A
Oakwood University,AL,Huntsville,True,#178,20040,72,,1378,N/A,N/A
Oberlin College and Conservatory,OH,Oberlin,True,#51,64646,35,3.7,2986,1360-1530,30-33
Occidental College,CA,Los Angeles,True,#35,63446,39,3.7,1942,1360-1510,31-34
Oglala Lakota College,SD,Kyle,True,Unranked,2684,,,1414,N/A,N/A
Oglethorpe University,GA,Atlanta,True,#163,45806,72,,1491,1065-1305,22-29
Ohio Christian University,OH,Circleville,True,#148,23100,,,1439,N/A,N/A
Ohio Dominican University,OH,Columbus,True,#95,34370,52,,846,883-1146,16-24
Ohio Northern University,OH,Ada,True,#2,37600,54,3.8,2569,1075-1310,21-28
The Ohio State University,OH,Columbus,True,#43,36722,53,,46123,1310-1480,29-32
Ohio University,OH,Athens,True,#178,24114,87,3.8,17860,1080-1270,22-27
Ohio Wesleyan University,OH,Delaware,True,#116,52297,52,3.7,1410,1123-1358,23-30
Oklahoma Baptist University,OK,Shawnee,True,#44,34050,51,3.2,1330,960-1160,17-24
Oklahoma Christian University,OK,Oklahoma City,True,#56,25900,96,3.6,2003,1020-1240,19-27
Oklahoma City University,OK,Oklahoma City,True,#280,33586,70,3.8,1361,1080-1260,20-26
Oklahoma Panhandle State University,OK,Goodwell,True,#37,8426,90,3.1,1242,863-1088,17-21
Oklahoma State University,OK,Stillwater,True,#185,24764,71,3.6,20801,1010-1250,20-27
Oklahoma State University Institute of Technology--Okmulgee,OK,Okmulgee,True,Unranked,11384,48,3.2,2364,N/A,N/A
Oklahoma State University--Oklahoma City,OK,Oklahoma City,True,Unranked,9564,,,4456,N/A,N/A
Oklahoma Wesleyan University,OK,Bartlesville,True,#79,30262,54,,782,880-1130,16-23
Old Dominion University,VA,Norfolk,True,#280,32662,95,3.4,18375,1090-1250,22-27
Olivet Nazarene University,IL,Bourbonnais,True,#47,37940,60,,2519,930-1210,18-27
Olympic College,WA,Bremerton,True,Unranked,9740,,,4999,N/A,N/A
Oral Roberts University,OK,Tulsa,True,#74,34100,99,3.6,4402,1020-1240,19-26
Oregon Health and Science University,OR,Portland,True,Unranked,43575,,,783,N/A,N/A
Oregon Institute of Technology,OR,Klamath Falls,True,#5,35592,93,3.5,4804,1050-1255,23-30
Oregon State University,OR,Corvallis,True,#142,35664,83,3.6,28905,1130-1380,22-30
Otis College of Art and Design,CA,Los Angeles,True,Unranked,50040,83,3.2,1268,N/A,N/A
Ottawa University,KS,Ottawa,True,#32,33380,78,3.3,853,860-1100,18-23
Otterbein University,OH,Westerville,True,#20,34899,84,3.8,2173,1035-1270,20-27
Ouachita Baptist University,AR,Arkadelphia,True,#178,32480,72,3.8,1730,1020-1200,21-29
Our Lady of the Lake University,TX,San Antonio,True,#395-435,31728,69,3.6,1195,900-1110,15-16
Ozark Christian College,MO,Joplin,True,Unranked,15550,94,3.5,619,N/A,N/A
Pace University,NY,New York,True,#249,51424,83,3.4,8223,1120-1300,24-29
Pacific College,CA,Costa Mesa,True,Unranked,40000,71,,356,N/A,N/A
Pacific Lutheran University,WA,Tacoma,True,#25,50964,89,3.7,2301,1253-1423,27-30
Pacific Northwest College of Art,OR,Portland,True,Unranked,45100,98,,397,N/A,N/A
Pacific Oaks College,CA,Pasadena,True,Unranked,11692,13,,479,N/A,N/A
Pacific Union College,CA,Angwin,True,#13,35214,48,3.5,848,990-1260,19-26
Pacific University,OR,Forest Grove,True,#209,54466,92,3.7,1639,1010-1350,20-26
Paine College,GA,Augusta,True,#186-204,14596,52,,251,N/A,N/A
Palm Beach Atlantic University,FL,West Palm Beach,True,#382,35900,95,,3028,1000-1240,19-26
Palm Beach State College,FL,Lake Worth,True,Unranked,16895,,2.9,24223,N/A,N/A
Parker University,TX,Dallas,True,Unranked,15718,,,466,N/A,N/A
Park University,MO,Parkville,True,#149-164,12671,,,7387,N/A,N/A
Pasco-Hernando State College,FL,New Port Richey,True,Unranked,12032,,,9257,N/A,N/A
Patrick Henry College,VA,Purcellville,True,Unranked,28425,76,3.8,409,N/A,N/A
Paul Quinn College,TX,Dallas,True,#38,13798,87,,384,N/A,N/A
Paul Smith's College,NY,Paul Smiths,True,#25,32048,75,,711,N/A,N/A
Peirce College,PA,Philadelphia,True,Unranked,15060,,,788,N/A,N/A
Peninsula College,WA,Port Angeles,True,Unranked,4919,,,1702,N/A,N/A
Pennsylvania Academy of the Fine Arts,PA,Philadelphia,True,Unranked,42100,84,,121,N/A,N/A
Pennsylvania College of Art & Design,PA,Lancaster,True,Unranked,29450,44,,245,N/A,N/A
Pennsylvania College of Technology,PA,Williamsport,True,#6,25680,75,3.1,4234,1008-1180,19-23
Pennsylvania State University -- Behrend,PA,Erie,True,Unranked,26370,,,0,N/A,N/A
Pennsylvania State University--Berks,PA,,True,Unranked,26370,,,0,N/A,N/A
Pennsylvania State University--Harrisburg,PA,Middletown,True,Unranked,26370,,,0,N/A,N/A
The Pennsylvania State University--University Park,PA,University Park,True,#60,38651,55,3.7,41745,1210-1390,26-31
Pennsylvania Western University,PA,California,True,#135,14816,94,3.4,9404,940-1160,18-25
Pensacola State College,FL,Pensacola,True,Unranked,17225,,,8604,N/A,N/A
Pepperdine University,CA,Malibu,True,#76,66742,49,3.8,3662,1285-1480,28-32
Peru State College,NE,Peru,True,#148,7920,,,1763,N/A,N/A
Pfeiffer University,NC,Misenheimer,True,#71,33290,72,,744,891-1165,18-25
Philander Smith College,AR,Little Rock,True,#60,13014,,,769,N/A,N/A
Phillips School of Nursing at Mount Sinai Beth Israel,NY,New York,True,Unranked,28323,,,290,N/A,N/A
Piedmont University,GA,Demorest,True,#52,30680,64,3.5,1245,990-1200,19-25
Pillar College,NJ,Newark,True,#186-204,23668,,,443,N/A,N/A
Pittsburgh Technical College,PA,Oakdale,True,Unranked,18000,82,,1066,N/A,N/A
Pittsburg State University,KS,Pittsburg,True,#96,19654,94,,4560,N/A,17-24
Pitzer College,CA,Claremont,True,#39,62692,18,3.9,1212,N/A,N/A
Platt College,CO,Aurora,True,Unranked,20590,58,,236,N/A,N/A
Plaza College,NY,Forest Hills,True,Unranked,14425,30,,896,N/A,N/A
Plymouth State University,NH,Plymouth,True,#130,25498,98,3,3308,N/A,N/A
Point Loma Nazarene University,CA,San Diego,True,#9,43550,82,3.7,3154,1160-1360,23-30
Point Park University,PA,Pittsburgh,True,#352,48070,82,3.6,2418,1030-1245,19-26
Point University,GA,West Point,True,#74,22300,47,,1638,890-1130,16-21
Polk State College,FL,Winter Haven,True,Unranked,12272,,,9044,N/A,N/A
Pomona College,CA,Claremont,True,#4,62326,7,,1791,1480-1560,33-35
Pontifical Catholic University of Puerto Rico--Arecibo,PR,Arecibo,True,Unranked,5818,98,,361,N/A,N/A
Pontifical Catholic University of Puerto Rico--Ponce,PR,Ponce,True,#380,5920,85,,4473,N/A,N/A
Pontifical College Josephinum,OH,Columbus,True,Unranked,26763,80,,32,N/A,N/A
Portland State University,OR,Portland,True,#280,24495,93,3.4,16864,1070-1300,18-27
Post University,CT,Waterbury,True,#151-167,32525,95,,14944,N/A,N/A
Prairie View A&M University,TX,Prairie View,True,#395-435,26874,77,,8444,840-1050,18-20
Pratt Institute,NY,Brooklyn,True,Unranked,59683,45,3.8,3702,N/A,N/A
Presbyterian College,SC,Clinton,True,#139,43300,59,3.3,955,1020-1270,21-27
Prescott College,AZ,Prescott,True,#90,35685,98,,317,N/A,N/A
Princeton University,NJ,Princeton,True,#1,59710,6,3.9,5604,1500-1580,34-35
Principia College,IL,Elsah,True,#51,33280,48,3.3,314,1027-1190,16-26
Providence Christian College,CA,Pasadena,True,#186-204,33884,83,,123,N/A,N/A
Providence College,RI,Providence,True,#1,60848,53,3.6,4279,1260-1420,28-32
Provo College,UT,Provo,True,Unranked,17112,,,684,N/A,N/A
Pueblo Community College,CO,Pueblo,True,Unranked,16275,,,5938,N/A,N/A
Puerto Rico Conservatory of Music,PR,San Juan,True,Unranked,3370,51,,325,N/A,N/A
Purchase College--SUNY,NY,Purchase,True,#139,18863,78,3.4,3145,1190-1350,29-31
Purdue University--Fort Wayne,IN,Fort Wayne,True,#117,22220,81,3.4,8390,980-1210,20-27
Purdue University Global,IN,West Lafayette,True,#395-435,14445,,,32477,N/A,N/A
Purdue University--Main Campus,IN,West Lafayette,True,#43,28794,53,3.7,37949,1200-1470,27-34
Purdue University--Northwest,IN,Hammond,True,#103,13096,73,3.1,6126,950-1170,18-24
Queens University of Charlotte,NC,Charlotte,True,#16,42790,71,,1317,1080-1255,22-29
Quincy University,IL,Quincy,True,#36,35740,62,3.4,1146,1080-1250,21-26
Quinnipiac University,CT,Hamden,True,#170,53090,84,3.5,6073,1120-1300,24-29
Radford University,VA,Radford,True,#304,24738,93,3.4,6008,960-1160,19-23
Ramapo College of New Jersey,NJ,Mahwah,True,#27,25374,70,3.5,4932,1100-1290,21-28
Randolph College,VA,Lynchburg,True,#165,29010,95,3.3,478,930-1140,22-30
Randolph-Macon College,VA,Ashland,True,#107,48106,85,3.7,1490,1020-1220,23-27
Ranken Technical College,MO,Saint Louis,True,Unranked,16960,,,1826,N/A,N/A
Rasmussen University,MN,,True,Unranked,11205,,,3658,N/A,N/A
Red Rocks Community College,CO,Lakewood,True,Unranked,16135,,,5938,N/A,N/A
Reed College,OR,Portland,True,#67,64760,44,,1548,N/A,N/A
Regent's American College London,,London NW1 4NS,True,Unranked,,,,0,N/A,N/A
Regent University,VA,Virginia Beach,True,#369,20685,32,3.5,4552,1030-1250,19-25
Regis College,MA,Weston,True,#45,47770,89,3.3,1121,1040-1230,23-27
Regis University,CO,Denver,True,#260,43980,78,3.7,2398,1010-1220,20-27
Reinhardt University,GA,Waleska,True,#34,28420,63,3.2,1059,900-1210,14-24
Rensselaer Polytechnic Institute,NY,Troy,True,#60,61884,65,3.9,5895,1360-1520,30-34
Renton Technical College,WA,Renton,True,Unranked,6252,,,3097,N/A,N/A
Research College of Nursing,MO,Kansas City,True,Unranked,18000,,,259,N/A,N/A
Rhode Island College,RI,Providence,True,#96,26519,88,,4719,870-1110,N/A
Rhode Island School of Design,RI,Providence,True,#4,57505,19,,2044,1310-1480,28-34
Rhodes College,TN,Memphis,True,#56,54892,48,3.7,1996,1305-1465,28-32
Rice University,TX,Houston,True,#17,58128,9,,4494,1490-1570,34-36
Richmond American University London,,"Chiswick, London W4 5AN",True,Unranked,,,,0,N/A,N/A
Rider University,NJ,Lawrenceville,True,#33,38900,84,3.5,3168,1100-1300,21-29
Ringling College of Art and Design,FL,Sarasota,True,Unranked,55260,65,3.5,1705,N/A,N/A
Rio Hondo College,CA,Whittier,True,Unranked,9884,,,15593,N/A,N/A
Ripon College,WI,Ripon,True,#146,50700,81,3.4,766,990-1170,19-27
Rivier University,NH,Nashua,True,#151-167,36610,84,,1454,N/A,N/A
Roanoke College,VA,Salem,True,#130,36774,80,3.4,1826,1060-1260,19-26
Robert Morris University,PA,Moon Township,True,#201,34740,94,3.7,2782,N/A,N/A
Roberts Wesleyan College,NY,Rochester,True,#91,37380,100,3.6,1052,1150-1340,25-30
Rochester Institute of Technology,NY,Rochester,True,#98,57016,67,3.7,13940,1270-1450,29-33
Rochester University,MI,Rochester Hills,True,#51,26735,98,,1087,N/A,N/A
Rockford University,IL,Rockford,True,#138,36800,55,3.2,951,840-1086,12-20
Rockhurst University,MO,Kansas City,True,#13,42901,66,3.7,2545,1050-1225,19-27
Rocky Mountain College,MT,Billings,True,#91,33252,75,3.4,845,970-1230,18-24
Rocky Mountain College of Art and Design,CO,Lakewood,True,#29,22607,,,1837,N/A,N/A
Rogers State University,OK,Claremore,True,#31,16260,60,3.4,3063,818-915,17-23
Roger Williams University,RI,Bristol,True,#50,42666,91,3.4,4103,1120-1270,25-31
Rollins College,FL,Winter Park,True,#1,58300,50,3.5,2263,1120-1340,23-29
Roosevelt University,IL,Chicago,True,#390,20280,88,3,2391,860-1120,21-27
Rose-Hulman Institute of Technology,IN,Terre Haute,True,Unranked,54174,73,3.9,2169,N/A,N/A
Roseman University of Health Sciences,NV,Henderson,True,Unranked,41667,,,559,N/A,N/A
Rosemont College,PA,Rosemont,True,#148,21175,76,3,425,980-1200,18-23
Rowan University,NJ,Glassboro,True,#163,25564,77,3.4,15264,1090-1300,23-31
Russell Sage College,NY,Troy,True,#195,36756,74,3.3,1126,900-1160,15-25
Rust College,MS,Holly Springs,True,#186-204,9900,38,,768,N/A,N/A
Rutgers University--Camden,NJ,Camden,True,#98,35841,77,,4185,1030-1280,25-30
Rutgers University--Newark,NJ,Newark,True,#82,35348,74,,7511,1030-1270,21-28
Rutgers University--New Brunswick,NJ,Piscataway,True,#40,36001,66,,36344,1270-1480,28-33
Sacred Heart Major Seminary,MI,Detroit,True,Unranked,22277,100,,190,N/A,N/A
Sacred Heart University,CT,Fairfield,True,#209,48460,66,3.7,6782,1140-1280,26-29
Saginaw Valley State University,MI,University Center,True,#120,27164,78,,6789,960-1170,19-25
Saint Anselm College,NH,Manchester,True,#89,46800,82,3.4,1959,1120-1290,26-30
Saint Anthony College of Nursing,IL,Rockford,True,Unranked,27811,100,,181,N/A,N/A
Saint Augustine's University,NC,Raleigh,True,#86,16896,72,0,937,N/A,N/A
Saint Elizabeth University,NJ,Morristown,True,#96,35836,73,,737,N/A,N/A
Saint Johns River State College,FL,Palatka,True,Unranked,10347,,,6318,N/A,N/A
Saint Joseph's University,PA,Philadelphia,True,#8,51340,89,,5073,1130-1320,26-31
Saint Leo University,FL,Saint Leo,True,#390,28360,80,3.2,2336,930-1150,19-25
Saint Louis University,MO,St. Louis,True,#105,53244,85,3.9,7426,1210-1400,26-31
Saint Martin's University,WA,Lacey,True,#33,44210,95,3.4,1367,925-1180,19-24
Saint Mary-of-the-Woods College,IN,St. Mary-of-the-Woods,True,#35,33490,79,3.2,815,868-1052,18-30
Saint Mary's College,IN,Notre Dame,True,#82,51430,84,3.8,1406,1030-1270,23-30
Saint Mary's College of California,CA,Moraga,True,#4,56134,88,3.7,2003,1085-1260,26-31
Saint Mary's University of Minnesota,MN,Winona,True,#296,43160,97,3.5,1100,N/A,21-28
Saint Michael's College,VT,Colchester,True,#116,50040,85,,1209,1160-1316,27-30
Saint Peter's University,NJ,Jersey City,True,#45,41054,89,3.3,2068,910-1163,22-26
Saint Vincent College,PA,Latrobe,True,#124,41785,73,3.6,1375,1030-1250,22-28
Saint Xavier University,IL,Chicago,True,#38,36840,84,3.6,2981,890-1090,19-24
Salem College,NC,Winston-Salem,True,#139,32236,81,3.6,364,973-1195,20-28
Salem State University,MA,Salem,True,#96,18961,93,3.3,5078,1000-1190,N/A
Salem University,WV,Salem,True,#123-135,13150,,,782,N/A,N/A
Salisbury University,MD,Salisbury,True,#54,21332,91,3.7,6378,1180-1320,22-27
Salish Kootenai College,MT,Pablo,True,Unranked,11583,,,615,N/A,N/A
Salve Regina University,RI,Newport,True,#27,47930,70,3.6,2190,1130-1280,25-28
Samford University,AL,Birmingham,True,#185,38144,83,3.8,3672,1080-1270,23-29
Sam Houston State University,TX,Huntsville,True,#249,22996,85,0,18235,960-1140,18-24
Samuel Merritt University,CA,Oakland,True,Unranked,86969,,,728,N/A,N/A
San Diego Christian College,CA,Santee,True,#98,26300,53,,449,N/A,N/A
San Diego Mesa College,CA,San Diego,True,Unranked,7440,,,18028,N/A,N/A
San Diego State University,CA,San Diego,True,#105,20170,39,3.9,31724,N/A,N/A
San Francisco Conservatory of Music,CA,San Francisco,True,Unranked,52800,46,,228,N/A,N/A
San Francisco State University,CA,San Francisco,True,#178,19404,91,,21868,N/A,N/A
San Joaquin Valley College--Visalia,CA,Visalia,True,Unranked,16802,,,2240,N/A,N/A
San Jose State University,CA,San Jose,True,#4,19872,75,3.6,26863,1070-1370,21-29
San Juan Bautista School of Medicine,PR,Caguas,True,Unranked,9849,77,,63,N/A,N/A
Santa Ana College,CA,Santa Ana,True,Unranked,8788,,,23936,N/A,N/A
Santa Clara University,CA,Santa Clara,True,#60,59241,52,3.7,6115,1290-1480,29-33
Santa Fe College,FL,Gainesville,True,Unranked,9189,,,12830,N/A,N/A
Santa Monica College,CA,Santa Monica,True,Unranked,9094,,,23408,N/A,N/A
Sarah Lawrence College,NY,Bronxville,True,#100,63678,50,3.8,1462,1260-1450,29-33
Savannah College of Art and Design,GA,Savannah,True,#9,40095,82,3.6,13622,1060-1280,20-28
Savannah State University,GA,Savannah,True,#110,30274,,,3138,N/A,N/A
Schoolcraft College,MI,Livonia,True,Unranked,7652,,,8330,N/A,N/A
School of the Art Institute of Chicago,IL,Chicago,True,Unranked,54530,81,,2819,N/A,N/A
School of Visual Arts,NY,New York,True,#104,49140,87,3.4,3533,1168-1402,27-33
Schreiner University,TX,Kerrville,True,#67,37396,85,3.5,1098,920-1140,17-24
Scripps College,CA,Claremont,True,#35,63434,28,,1081,1390-1510,32-34
Seattle Central College,WA,Seattle,True,Unranked,5354,,,4698,N/A,N/A
Seattle Pacific University,WA,Seattle,True,#269,38814,91,3.6,2428,1080-1350,20-27
Seattle University,WA,Seattle,True,#163,54285,85,3.6,4099,1190-1390,24-30
Seminole State College of Florida,FL,Sanford,True,Unranked,11456,,,15315,N/A,N/A
Sentara College of Health Sciences,VA,Chesapeake,True,Unranked,2828,,,260,N/A,N/A
Seton Hall University,NJ,South Orange,True,#151,51370,75,3.7,6012,1230-1390,28-31
Seton Hill University,PA,Greensburg,True,#39,41414,78,,1630,1040-1240,21-28
Shasta College,CA,Redding,True,Unranked,8271,,,7075,N/A,N/A
Shawnee State University,OH,Portsmouth,True,#133,16157,77,,3101,970-1200,17-23
Shaw University,NC,Raleigh,True,#91-99,16480,61,2.8,924,N/A,N/A
Shenandoah University,VA,Winchester,True,#304,36028,74,3.7,2461,1100-1290,24-30
Shepherd University,WV,Shepherdstown,True,#79,18722,96,3.6,2718,930-1170,19-24
Shippensburg University of Pennsylvania,PA,Shippensburg,True,#104,14122,88,3.3,4443,980-1210,18-28
Shorter University,GA,Rome,True,#105,24044,97,,1394,960-1290,17-25
Siena College,NY,Loudonville,True,#13,42880,71,3.5,3519,1045-1270,22-31
Siena Heights University,MI,Adrian,True,#55,29044,68,,1782,N/A,N/A
Sierra Nevada University,NV,Incline Village,True,#105-115,,67,,279,920-1200,17-22
Simmons University,MA,Boston,True,#151,45538,76,3.8,1789,1200-1390,28-32
Simpson College,IA,Indianola,True,#5,46212,89,3.6,1127,1210-1440,31-33
Simpson University,CA,Redding,True,#174,38522,52,3.3,729,N/A,N/A
Sinte Gleska University,SD,Rosebud,True,Unranked,4714,,,688,N/A,N/A
Sitting Bull College,ND,Fort Yates,True,Unranked,4010,,,233,N/A,N/A
Skagit Valley College,WA,Mount Vernon,True,Unranked,7888,,,3891,N/A,N/A
Skidmore College,NY,Saratoga Springs,True,#38,64880,26,,2758,1300-1460,30-33
Skyline College,CA,San Bruno,True,Unranked,9508,,,7776,N/A,N/A
Slippery Rock University of Pennsylvania,PA,Slippery Rock,True,#50,14615,74,3.5,6779,960-1160,18-26
Smith College,MA,Northampton,True,#16,61568,23,,2523,1370-1520,31-34
Snow College,UT,Ephraim,True,#19,14130,100,2.8,6070,400-400,16-28
Soka University of America,CA,Aliso Viejo,True,#56,37450,57,3.7,445,1240-1440,26-27
Solano Community College,CA,Fairfield,True,Unranked,7628,,,8105,N/A,N/A
Sonoma State University,CA,Rohnert Park,True,#27,22388,94,,5934,N/A,N/A
South Carolina State University,SC,Orangeburg,True,#79,23282,84,3.2,2374,890-1200,12-19
South College,TN,Knoxville,True,#395-435,17335,,,4598,N/A,N/A
South Dakota School of Mines and Technology,SD,Rapid City,True,#26,14800,83,3.7,2164,1160-1378,23-29
South Dakota State University,SD,Brookings,True,#296,12809,86,3.5,9921,1020-1240,19-25
Southeastern Baptist Theological Seminary,NC,Wake Forest,True,#296,10234,90,,775,N/A,N/A
Southeastern Louisiana University,LA,Hammond,True,#84,20851,99,3.5,12451,N/A,21-25
Southeastern Oklahoma State University,OK,Durant,True,#98,15930,74,,3021,880-1080,17-23
Southeastern University,FL,Lakeland,True,#395-435,31732,50,3.6,8840,960-1183,19-25
Southeast Missouri Hospital College of Nursing and Health Sciences,MO,Cape Girardeau,True,Unranked,11691,33,,158,N/A,N/A
Southeast Missouri State University,MO,Cape Girardeau,True,#88,10839,86,3.6,8454,970-1180,17-24
Southern Adventist University,TN,Collegedale,True,#41,25290,70,3.6,2571,980-1280,19-26
Southern Arkansas University,AR,Magnolia,True,#86,15400,64,3.5,3148,900-1160,17-24
Southern Baptist Theological Seminary,KY,Louisville,True,Unranked,12000,80,,1019,N/A,N/A
Southern California Institute of Architecture,CA,Los Angeles,True,Unranked,50690,65,,256,N/A,N/A
Southern California University of Health Sciences,CA,Whittier,True,Unranked,13125,,,545,N/A,N/A
Southern Connecticut State University,CT,New Haven,True,#64,26104,83,3.2,6920,870-1080,18-25
Southern Illinois University--Carbondale,IL,Carbondale,True,#280,15522,91,3.2,8000,900-1140,19-27
Southern Illinois University Edwardsville,IL,Edwardsville,True,#332,12922,98,3.6,9321,930-1160,19-26
Southern Methodist University,TX,Dallas,True,#89,64460,52,3.7,7056,1370-1510,31-34
Southern Nazarene University,OK,Bethany,True,#75,28600,,,1486,N/A,N/A
Southern New Hampshire University,NH,Manchester,True,#151-167,16450,89,3.1,2601,N/A,N/A
Southern Oregon University,OR,Ashland,True,#69,30051,92,,4273,980-1230,18-25
Southern University and A&M College,LA,Baton Rouge,True,#395-435,10479,54,3.1,6470,890-1060,15-19
Southern University at New Orleans,LA,New Orleans,True,#123-135,8000,46,2.8,1680,N/A,15-18
Southern Utah University,UT,Cedar City,True,#60,20586,84,3.6,12649,1030-1240,20-26
Southern Virginia University,VA,Buena Vista,True,#186-204,19108,100,,1170,1018-1226,17-26
Southern Wesleyan University,SC,Central,True,#52,27820,52,,896,1013-1160,19-23
South Florida State College,FL,Avon Park,True,Unranked,11859,100,3.2,2892,N/A,N/A
South Georgia State College,GA,Douglas,True,#85,9322,99,3.1,1794,N/A,N/A
South Seattle College,WA,Seattle,True,Unranked,5354,,,4893,N/A,N/A
South Texas College,TX,McAllen,True,#42,7500,,,28962,N/A,N/A
South University,GA,Savannah,True,#123-135,17014,,,239,N/A,N/A
South University-Tampa,FL,Tampa,True,Unranked,17014,,,491,N/A,N/A
Southwest Baptist University,MO,Bolivar,True,#131,28377,100,3.5,1836,943-1123,19-25
Southwestern Adventist University,TX,Keene,True,#15,24588,54,,786,900-1180,17-24
Southwestern Assemblies of God University,TX,Waxahachie,True,#82,17782,85,,1519,900-1080,17-22
Southwestern Christian College,TX,Terrell,True,Unranked,12030,,,92,N/A,N/A
Southwestern Christian University,OK,Bethany,True,#43,21416,,,460,N/A,N/A
Southwestern College,KS,Winfield,True,#47,38480,70,3.4,1067,920-1110,16-22
Southwestern Oklahoma State University,OK,Weatherford,True,#64,15240,77,3.5,3942,N/A,17-23
Southwestern University,TX,Georgetown,True,#89,50858,45,3.5,1483,1120-1360,24-30
Southwest Minnesota State University,MN,Marshall,True,#103,10304,92,3.4,6144,N/A,17-23
Spalding University,KY,Louisville,True,#64,27300,98,3.7,767,905-1100,16-22
Spelman College,GA,Atlanta,True,#39,30058,28,3.9,2374,1090-1300,22-27
Spokane Community College,WA,Spokane,True,Unranked,5278,,,6890,N/A,N/A
Spokane Falls Community College,WA,Spokane,True,Unranked,5278,,,3805,N/A,N/A
Spring Arbor University,MI,Spring Arbor,True,#67,32580,47,3.6,1127,970-1135,20-26
Springfield College,MA,Springfield,True,#216,43707,76,3.6,2005,1100-1300,26-31
Spring Hill College,AL,Mobile,True,#8,23270,73,3.6,933,1110-1230,19-24
St. Ambrose University,IA,Davenport,True,#320,35598,74,3.4,2120,940-1200,20-26
St. Andrews University,NC,Laurinburg,True,#89,29600,12,,876,N/A,N/A
Stanford University,CA,Stanford,True,#3,62484,4,3.9,8049,1500-1580,33-35
State College of Florida--Manatee-Sarasota,FL,Bradenton,True,Unranked,11595,,,8424,N/A,N/A
St. Augustine College,IL,Chicago,True,#22,13288,,,737,N/A,N/A
St. Bonaventure University,NY,St. Bonaventure,True,#17,40150,81,3.5,1868,1050-1220,25-32
St. Catherine University,MN,St. Paul,True,#216,49758,93,3.6,2416,1155-1450,18-26
St. Charles Borromeo Seminary,PA,Wynnewood,True,Unranked,24060,100,,47,N/A,N/A
St. Cloud State University,MN,St. Cloud,True,#76,8812,95,3.3,8245,1028-1200,18-24
St. Edward's University,TX,Austin,True,#6,51384,85,,2769,1030-1270,20-27
