institution.displayName,institution.city,institution.zip,ranking.displayRank,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
Clover Park Technical College,Lakewood,98499,Unranked,,N/A
Coastal Carolina University,Conway,29528,#36,1020,20-25
Coe College,Cedar Rapids,52402,#130,1080,22-28
Coker University,Hartsville,29550,#67,940,16-24
Colby College,Waterville,04901,#25,1430,32-34
Colby-Sawyer College,New London,03257,#12,960,22-27
Colegio Universitario de San Juan,San Juan,,#91-99,,N/A
Colgate University,Hamilton,13346,#21,1410,32-34
College for Creative Studies,Detroit,48202,Unranked,,N/A
College of Biblical Studies--Houston,Houston,,Unranked,,N/A
College of Central Florida,Ocala,34474,Unranked,,N/A
College of Charleston,Charleston,29424,#9,1130,24-30
College of Coastal Georgia,Brunswick,31520,#68,900,15-22
College of Idaho,Caldwell,83605,#7,1070,23-29
College of Menominee Nation,Keshena,,Unranked,,N/A
College of Mount St. Vincent,Bronx,10471,#9,968,22-23
The College of New Jersey,Ewing,08628,#4,1140,24-30
College of Saint Mary,Omaha,68106,#76,1010,18-24
The College of Saint Rose,Albany,12203,#119,,N/A
College of Southern Nevada,Las Vegas,89146,Unranked,,N/A
College of St. Benedict,St. Joseph,56321,#73,1055,20-27
The College of St. Scholastica,Duluth,55811,#216,1088,22-27
College of the Atlantic,Bar Harbor,04609,#156,1230,27-32
College of the Holy Cross,Worcester,01610,#27,1260,28-32
College of the Ozarks,Point Lookout,65726,#3,1065,20-25
The College of Westchester,White Plains,10606,#33,,N/A
The College of Wooster,Wooster,44691,#75,1250,27-32
Colorado Christian University,Lakewood,80226,#51,1130,23-30
Colorado College,Colorado Springs,80903,#33,,N/A
Colorado Mesa University,Grand Junction,81501,#20,930,18-25
Colorado Mountain College,Glenwood Springs,81601,#43,,N/A
Colorado School of Mines,Golden,80401,#76,1330,30-33
Colorado State University,Fort Collins,80523,#151,1070,23-29
Colorado State University--Pueblo,Pueblo,81001,#82,900,17-25
Colorado Technical University,Colorado Springs,80907,#395-435,,N/A
Columbia Basin College,Pasco,99301,Unranked,,N/A
Columbia Central University--Caguas,Caguas,,Unranked,,N/A
Columbia College Chicago,Chicago,60605,#124,,N/A
Columbia College Hollywood,Tarzana,,Unranked,,N/A
Columbia College (MO),Columbia,65216,#149-164,,N/A
Columbia College (SC),Columbia,29203,#33,850,14-18
Columbia International University,Columbia,29203,#45,990,16-25
Columbia University,New York,10027,#12,1470,34-35
Columbus College of Art and Design,Columbus,43215,Unranked,,N/A
Columbus State University,Columbus,31907,#64,820,16-23
Commonwealth University of Pennsylvania,,,Unranked,,N/A
Community College of Denver,Denver,80204,Unranked,,N/A
Conception Seminary College,Conception,64433,Unranked,,N/A
Concordia College--Moorhead,Moorhead,56562,#146,1410,21-28
Concordia University Ann Arbor,Ann Arbor,48105,Unranked,,N/A
Concordia University Chicago,River Forest,60305,#101,,N/A
Concordia University -- Irvine,Irvine,92612,#345,1030,21-29
Concordia University (NE),Seward,68434,#76,1000,19-25
"Concordia University, St. Paul",St. Paul,55104,#92,,22-28
Concordia University Texas,Austin,78726,#79,885,15-25
Concordia University Wisconsin,Mequon,53097,#304,,20-27
Concord University,Athens,24712,#86,890,18-23
Connecticut College,New London,06320,#46,1360,30-33
Converse University,Spartanburg,29302,#23,,N/A
Cooper Union for the Advancement of Science and Art,New York,10003,#2,1380,32-35
Coppin State University,Baltimore,21216,#151-167,860,13-21
Corban University,Salem,97301,#71,1003,21-26
Cornell College,Mount Vernon,52314,#116,1170,23-30
Cornell University,Ithaca,14853,#12,1470,33-35
Cornerstone University,Grand Rapids,49525,#60,980,21-27
Cornish College of the Arts,Seattle,98121,Unranked,,N/A
Cottey College,Nevada,64772,#6,,1-24
Covenant College,Lookout Mountain,30750,#135,1140,24-32
Cox College,Springfield,65802,Unranked,,N/A
Creighton University,Omaha,68178,#124,1208,24-31
Criswell College,Dallas,75246,#4,1090,N/A
Crowley's Ridge College,Paragould,72450,#47,,N/A
Crown College,St. Bonifacius,55375,#137,,N/A
Culinary Institute of America,Hyde Park,12538,Unranked,,N/A
Culver-Stockton College,Canton,63435,#36,850,18-21
Cumberland University,Lebanon,37087,#85,920,17-23
CUNY--Baruch College,New York,10010,#9,962,N/A
CUNY--Brooklyn College,Brooklyn,11210,#38,,N/A
CUNY--City College,New York,10031,#105,,N/A
CUNY--College of Staten Island,Staten Island,10314,#104,,N/A
CUNY--Hunter College,New York,10021,#21,,N/A
CUNY--John Jay College of Criminal Justice,New York,10019,#17,,N/A
CUNY--Lehman College,Bronx,10468,#27,,N/A
CUNY--New York City College of Technology,Brooklyn,11201,#22,,N/A
CUNY--Queens College,Queens,11367,#45,,N/A
Curry College,Milton,02186,#137,1083,N/A
Curtis Institute of Music,Philadelphia,19103,Unranked,,N/A
Cypress College,Cypress,90630,Unranked,,N/A
Daemen University,Amherst,14226,#345,1123,N/A
Dakota State University,Madison,57042,#95,940,19-27
Dakota Wesleyan University,Mitchell,57301,#23,950,18-24
Dallas Baptist University,Dallas,75211,#376,970,19-25
Dalton State College,Dalton,30720,#41,,N/A
Dartmouth College,Hanover,03755,#18,1500,33-35
Davenport University,Grand Rapids,49512,#133,,N/A
Davidson College,Davidson,28035,#16,1350,31-33
Davis and Elkins College,Elkins,26241,#23,,N/A
Davis College,Bible School Park,13737,Unranked,,N/A
Daytona State College,Daytona Beach,32114,Unranked,,N/A
Dean College,Franklin,02038,#29,,N/A
Defiance College,Defiance,43512,#50,810,16-22
Delaware State University,Dover,19901,#111,830,20-24
Delaware Technical Community College--Terry,Dover,19901,Unranked,,N/A
Delaware Valley University,Doylestown,18901,#143,1060,27-29
Delta State University,Cleveland,38733,#55,940,17-24
Denison University,Granville,43023,#39,1270,29-32
Denver College of Nursing,Denver,,Unranked,,N/A
DePaul University,Chicago,60604,#151,1070,24-30
DePauw University,Greencastle,46135,#46,1140,24-31
DEREE--The American College of Greece,Athens,,Unranked,,N/A
DeSales University,Center Valley,18034,#280,1100,23-29
Design Institute of San Diego,San Diego,,Unranked,,N/A
DeVry University,Lisle,60532,#149-164,,N/A
Dharma Realm Buddhist University,Ukiah,95482,Unranked,,N/A
Dickinson College,Carlisle,17013,#46,1260,29-32
Dickinson State University,Dickinson,58601,#49,875,16-21
DigiPen Institute of Technology,Redmond,98052,Unranked,,N/A
Dillard University,New Orleans,70122,#159,988,19-25
Dine College,Tsaile,,Unranked,,N/A
Divine Word College,Epworth,52045,Unranked,,N/A
Doane University,Crete,68333,#84,900,18-24
Dominican University,River Forest,60305,#11,890,16-22
Dominican University New York,Orangeburg,10962,#369,953,N/A
Dominican University of California,San Rafael,94901,#18,1088,23-25
Donnelly College,Kansas City,66102,#41,,N/A
Dordt University,Sioux Center,51250,#8,1030,21-28
Drake University,Des Moines,50311,#178,1110,25-30
Drew University,Madison,07940,#93,1120,26-28
Drexel University,Philadelphia,19104,#98,1230,27-32
Drury University,Springfield,65802,#26,1150,22-28
Duke University,Durham,27708,#7,1490,34-35
Dunwoody College of Technology,Minneapolis,55403,#53,,17-22
Duquesne University,Pittsburgh,15282,#151,1160,25-31
D'Youville University,Buffalo,14201,#320,1030,21-26
Eagle Gate College--Murray,,,Unranked,,N/A
Earlham College,Richmond,47374,#100,1130,24-32
East Carolina University,Greenville,27858,#195,1040,18-24
East Central University,Ada,74820,#95,881,17-22
Eastern Connecticut State University,Willimantic,06226,#69,980,16-28
Eastern Florida State College,Cocoa,32922,Unranked,,N/A
Eastern Illinois University,Charleston,61920,#60,900,17-23
Eastern International College--Jersey City,Jersey City,,Unranked,,N/A
Eastern Kentucky University,Richmond,40475,#352,940,17-24
Eastern Mennonite University,Harrisonburg,22802,#47,1040,25-34
Eastern Michigan University,Ypsilanti,48197,#376,930,18-25
Eastern Nazarene College,Quincy,02170,#151-167,960,18-26
Eastern New Mexico University,Portales,88130,#91,860,16-22
Eastern Oregon University,La Grande,97850,#84,,N/A
Eastern University,St. Davids,19087,#141,,N/A
Eastern Washington University,Cheney,99004,#49,,N/A
East Georgia State College,Swainsboro,30401,Unranked,,N/A
East Stroudsburg University,East Stroudsburg,18301,#135,930,16-23
East Tennessee State University,Johnson City,37614,#320,980,19-26
East Texas Baptist University,Marshall,75670,#84,960,18-25
East-West University,Chicago,60605,#186-204,,N/A
Eckerd College,St. Petersburg,33711,#130,1107,23-29
ECPI University,Virginia Beach,23462,#110,,N/A
Edgewood College,Madison,53711,#296,,N/A
Edmonds Community College,Lynnwood,98036,Unranked,,N/A
EDP University of Puerto Rico Inc--San Juan,San Juan,00919,#29,,N/A
Edward Waters University,Jacksonville,32209,#66,,N/A
Elizabeth City State University,Elizabeth City,27909,#28,840,14-23
Elizabethtown College,Elizabethtown,17022,#39,1070,25-30
Elmhurst University,Elmhurst,60126,#6,980,20-27
Elmira College,Elmira,14901,#7,1118,20-30
Elms College,Chicopee,01013,#60,1070,N/A
Elon University,Elon,27244,#133,1170,25-30
Embry-Riddle Aeronautical University -- Daytona Beach,Daytona Beach,32114,#6,1140,23-29
Embry-Riddle Aeronautical University--Prescott,Prescott,86301,#1,1170,24-31
Embry-Riddle Aeronautical University--Worldwide,Daytona Beach,,#123-135,,N/A
Emerson College,Boston,02116,#13,1250,30-32
Emmanuel College,Boston,02115,#152,1160,25-30
Emmanuel University,Franklin Springs,30639,#52,950,N/A
Emmaus Bible College,Dubuque,52001,#41,1100,18-26
Emory & Henry College,Emory,24327,#21,,N/A
Emory University,Atlanta,30322,#24,1430,32-34
Emporia State University,Emporia,66801,#83,,18-24
Endicott College,Beverly,01915,#39,1130,24-29
Erskine College,Due West,29639,#43,920,17-23
Escuela de Artes Plasticas de Puerto Rico,San Juan,00902,Unranked,,N/A
Eureka College,Eureka,61530,#41,870,16-23
Evangel University,Springfield,65802,#108,990,19-25
Everglades University,Boca Raton,33431,#97,,N/A
The Evergreen State College,Olympia,98505,#69,980,22-29
Fairfield University,Fairfield,06824,#124,1240,28-31
Fairleigh Dickinson University,Teaneck,07666,#45,980,20-27
Fairmont State University,Fairmont,26554,#98,820,18-23
Faith Baptist Bible College and Theological Seminary,Ankeny,50023,#44,1020,20-27
Farmingdale State College--SUNY,Farmingdale,11735,#16,1000,19-24
Fashion Institute of Design & Merchandising,Los Angeles,90015,#6,,N/A
Fashion Institute of Technology,New York,10001,Unranked,,N/A
Faulkner University,Montgomery,36109,#123-135,950,17-24
Fayetteville State University,Fayetteville,28301,#69,870,14-19
Feather River Community College District,Quincy,95971,Unranked,,N/A
Felician University,Lodi,07644,#123,893,18-25
Ferris State University,Big Rapids,49307,#304,910,18-23
Ferrum College,Ferrum,24088,#52,920,18-24
Fisher College,Boston,02116,#40,800,15-24
Fisk University,Nashville,37208,#146,1090,19-25
Fitchburg State University,Fitchburg,01420,#69,1020,22-31
Five Towns College,Dix Hills,11746,Unranked,,N/A
Flagler College,St. Augustine,32084,#3,1050,22-29
Florida A&M University,Tallahassee,32307,#170,1040,20-24
Florida A&M University -- Florida State University College of Engineering,,,Unranked,,N/A
Florida Atlantic University,Boca Raton,33431,#209,1020,20-25
Florida College,Temple Terrace,33617,#61,930,19-27
Florida Gateway College,Lake City,32025,Unranked,,N/A
Florida Gulf Coast University,Fort Myers,33965,#304,1040,20-25
Florida Institute of Technology,Melbourne,32901,#269,1120,22-28
Florida International University,Miami,33199,#124,1060,21-26
Florida Keys Community College,Key West,33040,Unranked,,N/A
Florida Memorial University,Miami,33054,#43,,N/A
Florida National University,Hialeah,33012,#69,,N/A
Florida Polytechnic University,Lakeland,33805,#2,1233,26-31
Florida Southern College,Lakeland,33801,#11,1160,25-30
Florida SouthWestern State College,Fort Myers,33919,Unranked,,N/A
Florida State College--Jacksonville,Jacksonville,32202,Unranked,,N/A
Florida State University,Tallahassee,32306,#53,1210,26-31
Fontbonne University,St. Louis,63105,#74,,18-25
Foothill College,Los Altos Hills,94022,Unranked,,N/A
