institution.displayName,institution.city,institution.zip,ranking.displayRank,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
"University of Maryland, Eastern Shore",Princess Anne,21853,#369,840,17-22
University of Maryland Global Campus,Adelphi,20783,#151-167,,N/A
University of Mary Washington,Fredericksburg,22401,#154,1170,25-30
University of Massachusetts--Amherst,Amherst,01003,#67,1260,29-33
University of Massachusetts--Boston,Boston,02125,#216,1080,24-29
University of Massachusetts--Dartmouth,North Dartmouth,02747,#209,1020,22-31
University of Massachusetts--Lowell,Lowell,01854,#159,1170,25-31
University of Memphis,Memphis,38152,#269,930,17-24
University of Miami,Coral Gables,33124,#67,1310,30-33
University of Michigan--Ann Arbor,Ann Arbor,48109,#21,1350,31-34
University of Michigan--Dearborn,Dearborn,48128,#17,1010,22-28
University of Michigan--Flint,Flint,48502,#390,930,20-28
University of Minnesota Crookston,Crookston,56716,#32,,N/A
University of Minnesota Duluth,Duluth,55812,#21,1120,22-28
University of Minnesota Morris,Morris,56267,#130,,N/A
"University of Minnesota, Twin Cities",Minneapolis,55455,#53,1290,27-32
University of Mississippi,University,38677,#163,1030,22-29
University of Missouri,Columbia,65211,#124,1140,23-30
University of Missouri--Kansas City,Kansas City,64110,#269,1245,21-30
University of Missouri--St. Louis,St. Louis,63121,#260,1040,20-26
University of Mobile,Mobile,36613,#76,1115,21-27
University of Montana,Missoula,59812,#361,1080,19-26
University of Montana Western,Dillon,59725,#23,870,16-23
University of Montevallo,Montevallo,35115,#20,970,19-26
University of Mount Olive,Mount Olive,28365,#78,990,16-21
University of Mount Union,Alliance,44601,#32,960,19-26
University of Nebraska at Kearney,Kearney,68849,#29,1000,19-25
University of Nebraska -- Lincoln,Lincoln,68588,#159,1110,22-28
University of Nebraska Medical Center,Omaha,68198,Unranked,,N/A
University of Nebraska Omaha,Omaha,68182,#304,,18-26
"University of Nevada, Las Vegas",Las Vegas,89154,#269,1000,18-24
"University of Nevada, Reno",Reno,89557,#195,1060,19-26
University of New England,Biddeford,04005,#260,,N/A
University of New Hampshire,Durham,03824,#115,1120,26-31
University of New Hampshire at Manchester,Manchester,03102,#146,1110,N/A
University of New Haven,West Haven,06516,#87,1090,N/A
University of New Mexico,Albuquerque,87131,#236,,18-25
University of New Orleans,New Orleans,70148,#394-435,940,17-24
University of North Alabama,Florence,35632,#33,925,19-26
University of North Carolina Asheville,Asheville,28804,#139,1140,21-28
University of North Carolina at Chapel Hill,Chapel Hill,27599,#22,1350,30-34
University of North Carolina at Greensboro,Greensboro,27402,#216,1110,22-27
University of North Carolina--Charlotte,Charlotte,28223,#178,1070,20-26
University of North Carolina--Pembroke,Pembroke,28372,#45,935,16-21
University of North Carolina School of the Arts,Winston-Salem,27127,Unranked,,N/A
University of North Carolina--Wilmington,Wilmington,28403,#201,1220,24-29
University of North Dakota,Grand Forks,58202,#236,1090,20-26
University of Northern Colorado,Greeley,80639,#352,990,20-27
University of Northern Iowa,Cedar Falls,50614,#11,1020,20-26
University of North Florida,Jacksonville,32224,#236,1010,18-25
University of North Georgia,Dahlonega,30597,#41,1010,19-25
University of North Texas,Denton,76203,#260,1000,19-27
University of North Texas at Dallas,Dallas,75241,#44,840,14-20
University of Northwestern Ohio,Lima,45805,#64,,N/A
University of Northwestern--St. Paul,St. Paul,55113,#45,1016,21-28
University of Notre Dame,Notre Dame,46556,#20,1420,32-35
University of Oklahoma,Norman,73019,#124,1130,23-29
University of Oklahoma Health Sciences Center,Oklahoma City,73190,Unranked,,N/A
The University of Olivet,Olivet,49076,#38,910,18-23
University of Oregon,Eugene,97403,#98,1140,24-30
University of Pennsylvania,Philadelphia,19104,#6,1500,34-35
University of Pikeville,Pikeville,41501,#395-435,940,17-23
University of Pittsburgh,Pittsburgh,15260,#67,1280,29-33
University of Pittsburgh at Bradford,Bradford,16701,#20,980,18-29
University of Pittsburgh at Greensburg,Greensburg,15601,#186-204,1030,18-25
University of Pittsburgh at Johnstown,Johnstown,15904,#12,,19-28
University of Portland,Portland,97203,#2,1220,27-31
University of Providence,Great Falls,59401,#98,1140,17-23
University of Puerto Rico--Aguadilla,Aguadilla,00604,#52,863,N/A
University of Puerto Rico--Arecibo,Arecibo,00614,#34,,N/A
University of Puerto Rico--Bayamon,Bayamon,00959,#81,,N/A
University of Puerto Rico--Cayey,Cayey,00736,#167,905,N/A
University of Puerto Rico--Humacao,Humacao,00792,#33,,N/A
University of Puerto Rico--Mayaguez,Mayaguez,00681,#47,,N/A
University of Puerto Rico--Ponce,Ponce,00732,#52,,N/A
University of Puerto Rico--Rio Piedras,Rio Piedras,00931,#320,,N/A
University of Puerto Rico--Utuado,Utuado,00641,#91-99,,N/A
University of Puget Sound,Tacoma,98416,#89,1170,26-32
University of Redlands,Redlands,92373,#7,1113,25-30
University of Rhode Island,Kingston,02881,#151,1050,25-30
University of Richmond,Univ. of Richmond,23173,#25,1400,32-34
University of Rio Grande,Rio Grande,45674,#62,,N/A
University of Rochester,Rochester,14627,#47,1390,31-34
University of Saint Francis,Fort Wayne,46808,#76,930,18-24
University of Saint Joseph,West Hartford,06117,#80,1070,N/A
University of Saint Katherine,San Marcos,92069,#45-48,,N/A
University of Saint Mary,Leavenworth,66048,#95,935,16-23
University of San Diego,San Diego,92110,#98,,N/A
University of San Francisco,San Francisco,94117,#115,1210,27-31
University of Science and Arts of Oklahoma,Chickasha,73018,#186-204,,N/A
University of Scranton,Scranton,18510,#5,1150,25-31
University of Silicon Valley,San Jose,95134,#14,850,N/A
University of Sioux Falls,Sioux Falls,57105,#76,1010,19-25
University of South Alabama,Mobile,36688,#382,1003,20-26
University of South Carolina,Columbia,29208,#124,1180,27-32
University of South Carolina Aiken,Aiken,29801,#59,950,18-24
University of South Carolina Beaufort,Bluffton,29909,#44,930,18-25
University of South Carolina Upstate,Spartanburg,29303,#22,950,20-25
University of South Dakota,Vermillion,57069,#269,1020,19-25
University of Southern California,Los Angeles,90089,#28,1450,32-35
University of Southern Indiana,Evansville,47712,#76,1030,21-26
University of Southern Maine,Portland,04104,#144,995,19-24
University of Southern Mississippi,Hattiesburg,39406,#352,,19-27
University of South Florida,Tampa,33620,#89,1140,24-29
University of St. Francis,Joliet,60435,#280,980,22-30
University of St. Thomas (MN),St. Paul,55105,#163,1120,21-28
University of St. Thomas (TX),Houston,77006,#216,1010,24-29
University of Tampa,Tampa,33606,#16,1080,22-28
University of Tennessee at Chattanooga,Chattanooga,37403,#345,1023,20-26
University of Tennessee at Martin,Martin,38238,#27,1020,19-25
University of Tennessee Health Sciences Center,Memphis,38163,Unranked,,N/A
"University of Tennessee, Knoxville",Knoxville,37996,#105,1170,25-31
University of Tennessee Southern,Pulaski,38478,#47,1025,19-23
The University of Texas at Arlington,Arlington,76019,#236,1000,18-26
University of Texas at Austin,Austin,78705,#32,,29-34
The University of Texas at Dallas,Richardson,75080,#115,1170,24-32
The University of Texas at El Paso,El Paso,79968,#304,870,16-22
University of Texas at San Antonio,San Antonio,78249,#280,1010,19-26
The University of Texas at Tyler,Tyler,75799,#361,1000,19-24
University of Texas Health Science Center--Houston,Houston,77225,Unranked,,N/A
University of Texas Health Science Center--San Antonio,San Antonio,78284,Unranked,,N/A
University of Texas Medical Branch--Galveston,Galveston,77555,Unranked,,N/A
University of Texas Permian Basin,Odessa,79762,#52,910,16-21
University of Texas Rio Grande Valley,Edinburg,78539,#227,910,16-22
University of the Arts,Philadelphia,19102,Unranked,,N/A
University of the Cumberlands,Williamsburg,40769,#395-435,980,16-23
University of the District of Columbia,Washington,20008,#148,,N/A
University of the Incarnate Word,San Antonio,78209,#296,910,15-23
University of the Ozarks,Clarksville,72830,#7,960,19-24
University of the Pacific,Stockton,95211,#142,1120,25-33
University of the Potomac,Washington,20005,Unranked,,N/A
The University of the South,Sewanee,37383,#51,1233,27-32
University of the Southwest,Hobbs,88240,#105-115,,N/A
University of the Virgin Islands,St. Thomas,00802,#73,800,21-23
University of the West,Rosemead,91770,Unranked,,N/A
University of Toledo,Toledo,43606,#280,1060,21-28
University of Tulsa,Tulsa,74104,#195,1070,21-30
University of Utah,Salt Lake City,84112,#115,1190,22-29
University of Valley Forge,Phoenixville,19460,#36,930,17-21
University of Vermont,Burlington,05405,#133,1260,28-32
University of Virginia,Charlottesville,22904,#24,1400,32-34
University of Virginia--Wise,Wise,24293,#165,915,19-25
University of Washington,Seattle,98195,#40,1300,29-34
University of Washington Bothell,Bothell,,Unranked,,N/A
University of Washington Tacoma,Tacoma,,#13,980,19-24
University of West Alabama,Livingston,35470,#79,,17-21
University of West Florida,Pensacola,32514,#27,1020,21-26
University of West Georgia,Carrollton,30118,#382,930,17-22
University of Wisconsin--Eau Claire,Eau Claire,54701,#21,1100,21-27
University of Wisconsin--Green Bay,Green Bay,54311,#66,,18-25
University of Wisconsin--La Crosse,La Crosse,54601,#249,1115,21-26
University of Wisconsin--Madison,Madison,53706,#35,1350,28-33
University of Wisconsin--Milwaukee,Milwaukee,53201,#332,,18-25
University of Wisconsin--Oshkosh,Oshkosh,54901,#332,,18-23
University of Wisconsin--Parkside,Kenosha,53141,#103,,17-24
University of Wisconsin--Platteville,Platteville,53818,#60,,20-26
University of Wisconsin--River Falls,River Falls,54022,#60,,18-25
University of Wisconsin--Stevens Point,Stevens Point,54481,#47,1040,19-25
University of Wisconsin--Stout,Menomonie,54751,#67,1096,19-26
University of Wisconsin--Superior,Superior,54880,#124,1110,17-23
University of Wisconsin--Whitewater,Whitewater,53190,#43,950,18-24
University of Wyoming,Laramie,82071,#216,1030,20-27
Upper Iowa University,Fayette,52142,#149-164,855,17-24
Ursinus College,Collegeville,19426,#86,1180,28-32
Ursuline College,Pepper Pike,44124,#88,1056,19-26
Utah State University,Logan,84322,#269,1050,20-27
Utah Tech University,Saint George,84770,#32,871,18-24
Utah Valley University,Orem,84058,#104,,N/A
Utica University,Utica,13502,#64,1084,23-32
Valdosta State University,Valdosta,31698,#395-435,950,17-22
Valencia College,Orlando,32835,Unranked,,N/A
Valley City State University,Valley City,58072,#29,,17-23
Valparaiso University,Valparaiso,46383,#201,1140,27-30
Vanderbilt University,Nashville,37240,#18,1490,34-35
VanderCook College of Music,Chicago,60616,Unranked,,N/A
Vanguard University of Southern California,Costa Mesa,92626,#44,1140,21-28
Vassar College,Poughkeepsie,12604,#16,1430,32-34
Vaughn College of Aeronautics and Technology,Flushing,11369,#16,832,25-26
Vermont State University,Johnson,05656,#151-167,,N/A
Villa Maria College,Buffalo,14225,#41-44,800,N/A
Villanova University,Villanova,19085,#67,1380,32-34
Vincennes University,Vincennes,47591,#68-74,,N/A
Virginia Commonwealth University,Richmond,23284,#142,1030,22-30
Virginia Military Institute,Lexington,24450,#63,1105,22-29
Virginia State University,Petersburg,23806,#41,830,15-21
Virginia Tech,Blacksburg,24061,#47,1220,26-32
Virginia Union University,Richmond,23220,#186-204,813,14-24
Virginia Wesleyan University,Virginia Beach,23455,#174,1150,27-31
Viterbo University,La Crosse,54601,#74,1060,22-27
Voorhees University,Denmark,29042,#52,,N/A
Wabash College,Crawfordsville,47933,#59,1122,22-30
Wade College,Dallas,75207,Unranked,,N/A
Wagner College,Staten Island,10301,#69,1090,24-29
Wake Forest University,Winston-Salem,27109,#47,1380,31-34
Waldorf University,Forest City,50436,#149-164,,N/A
Walla Walla University,College Place,99324,#54,1030,19-26
Walsh College,Troy,48083,Unranked,,N/A
Walsh University,North Canton,44720,#352,1030,20-26
Warner Pacific University,Portland,97215,#11,,N/A
Warner University,Lake Wales,33859,#104,830,15-23
Warren Wilson College,Asheville,28815,#186-204,,24-30
Wartburg College,Waverly,50677,#156,970,19-25
Washburn University,Topeka,66621,#103,,17-23
Washington Adventist University,Takoma Park,20912,#151-167,,N/A
Washington and Lee University,Lexington,24450,#21,1410,32-34
Washington College,Chestertown,21620,#93,1190,25-29
Washington & Jefferson College,Washington,15301,#89,1010,19-28
Washington State University,Pullman,99164,#178,,N/A
Washington University in St. Louis,St. Louis,63130,#24,1500,33-35
Wayland Baptist University,Plainview,79072,#105-115,870,16-22
Waynesburg University,Waynesburg,15370,#111,960,19-25
Wayne State College,Wayne,68787,#92,,18-25
Wayne State University,Detroit,48202,#201,980,20-28
Webber International University,Babson Park,33827,#80,,N/A
Webb Institute,Glen Cove,11542,Unranked,,N/A
Weber State University,Ogden,84408,#59,,18-24
Webster University,St. Louis,63119,#32,1014,20-27
Welch College,Gallatin,37066,#17,930,19-28
Wellesley College,Wellesley,02481,#4,1430,33-35
Wells College,Aurora,13026,#152,,N/A
Wenatchee Valley College,Wenatchee,98801,Unranked,,N/A
Wentworth Institute of Technology,Boston,02115,#33,1120,25-31
Wesleyan College,Macon,31210,#6,1033,22-25
Wesleyan University,Middletown,06459,#11,1440,33-35
West Chester University of Pennsylvania,West Chester,19383,#209,1080,23-30
Westcliff University,Irvine,,Unranked,,N/A
West Coast University,Anaheim,90020,Unranked,,N/A
Western Carolina University,Cullowhee,28723,#227,1020,19-26
Western Colorado University,Gunnison,81231,#74,1010,21-28
Western Connecticut State University,Danbury,06810,#101,,N/A
Western Illinois University,Macomb,61455,#38,860,17-26
Western Kentucky University,Bowling Green,42101,#361,980,18-25
Western Michigan University,Kalamazoo,49008,#304,990,19-27
Western Nevada College,Carson City,89703,Unranked,,N/A
Western New England University,Springfield,01119,#236,1090,24-29
Western New Mexico University,Silver City,88062,#105-115,,N/A
Western Oregon University,Monmouth,97361,#60,985,N/A
Western Washington University,Bellingham,98225,#24,1130,25-30
Westfield State University,Westfield,01086,#94,980,17-22
West Liberty University,West Liberty,26074,#62,890,18-24
West Los Angeles College,Culver City,90230,Unranked,,N/A
Westminster College (MO),Fulton,65251,#164,880,18-24
Westminster College (PA),New Wilmington,16172,#112,1060,21-26
Westminster University (UT),Salt Lake City,84105,#21,1166,23-29
Westmont College,Santa Barbara,93108,#107,1210,30-33
West Texas A&M University,Canyon,79016,#56,900,18-23
West Virginia State University,Institute,25112,#103,,N/A
West Virginia University,Morgantown,26506,#216,1000,20-26
West Virginia University Institute of Technology,Beckley,25801,Unranked,,N/A
West Virginia University--Parkersburg,Parkersburg,26101,Unranked,,N/A
West Virginia Wesleyan College,Buckhannon,26201,#24,910,18-23
Whatcom Community College,Bellingham,98226,Unranked,,N/A
Wheaton College (IL),Wheaton,60187,#56,1250,28-33
Wheaton College (MA),Norton,02766,#75,1200,27-32
Wheeling University,Wheeling,26003,#49,910,17-22
Whitman College,Walla Walla,99362,#46,1293,30-33
Whittier College,Whittier,90608,#93,1140,24-30
Whitworth University,Spokane,99251,#7,1110,19-27
Wichita State University,Wichita,67260,#332,953,19-26
Widener University,Chester,19013,#227,1105,N/A
Wilberforce University,Wilberforce,45384,#62,780,15-20
Wiley College,Marshall,75670,#34,,13-17
Wilkes University,Wilkes-Barre,18766,#269,1060,21-26
Willamette University,Salem,97301,#75,1230,27-33
William Carey University,Hattiesburg,39401,#356,980,21-29
William Jewell College,Liberty,64068,#8,1030,20-26
William & Mary,Williamsburg,23187,#53,1375,32-34
William Paterson University of New Jersey,Wayne,07470,#69,,N/A
William Peace University,Raleigh,27604,#24,1033,19-27
William Penn University,Oskaloosa,52577,#57,830,16-21
Williams Baptist University,Walnut Ridge,72476,#40,1150,18-24
Williams College,Williamstown,01267,#1,1480,34-35
William Woods University,Fulton,65251,#395-435,,N/A
Wilmington College,Wilmington,45177,#29,960,17-23
Wilmington University,New Castle,19720,#395-435,,N/A
Wilson College,Chambersburg,17201,#150,970,N/A
Wingate University,Wingate,28174,#376,960,18-25
Winona State University,Winona,55987,#35,1000,19-25
Winston-Salem State University,Winston-Salem,27110,#260,880,15-19
Winthrop University,Rock Hill,29733,#11,980,19-26
Wisconsin Lutheran College,Milwaukee,53226,#19,1038,22-27
Wittenberg University,Springfield,45501,#152,1020,20-27
Wofford College,Spartanburg,29303,#59,1200,27-31
Woodbury University,Burbank,91504,#40,,N/A
Worcester Polytechnic Institute,Worcester,01609,#82,,N/A
Worcester State University,Worcester,01602,#96,1020,22-26
Wright State University,Dayton,45435,#394-435,917,17-24
Xavier University,Cincinnati,45207,#201,1120,23-30
Xavier University of Louisiana,New Orleans,70125,#16,1000,20-25
Yakima Valley College,Yakima,98907,Unranked,,N/A
Yale University,New Haven,06520,#5,1500,33-35
Yeshiva University,New York,10033,#105,1250,26-33
York College--CUNY,Jamaica,11451,#130,,N/A
York College of Pennsylvania,York,17403,#80,1010,22-27
York University,York,68467,#45,790,14-24
Young Harris College,Young Harris,30582,#186-204,,N/A
Youngstown State University,Youngstown,44555,#101,930,18-24
